season,team,player,off_possessions,def_possessions,pbp_games,bart_games,unassisted_rim_makes,unassisted_mid_makes,unassisted_3pm,rim_assists,off_fouls_drawn,fta,rim_att,dunks_made,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,rim_assists_100,off_fouls_drawn_100,fta_100,rim_att_100,dunks_100
2019,Abilene Christian,Abilene Christian,115.0,115.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Ade Murkey,1653.0,1624.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Ashton Hagans,2331.0,2331.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Augustine Ene,1647.0,1647.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,B.J. Maxwell,1437.3,1425.7,9.0,21.0,15.0,36.0,0.0,0.0,0.0,30.0,44.0,0.0,1.044,2.505,0.0,0.0,0.0,2.087,3.061,0.0
2019,Abilene Christian,BJ Maxwell,75.0,75.0,1.0,,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.667,0.0,0.0,0.0,0.0
2019,Abilene Christian,Brandon Gonzalez,1914.0,1914.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Chase Cobb,0.0,0.0,0.0,14.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Chris Clemons,2070.0,2070.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Christian Peevy,1475.0,1475.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Clay Gayman,1701.0,1674.0,1.0,27.0,3.0,12.0,0.0,3.0,0.0,18.0,16.0,4.0,0.176,0.705,0.0,0.176,0.0,1.058,0.941,0.235
2019,Abilene Christian,Cody Graham,1449.0,1449.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Damien Daniels,1960.0,1960.0,3.0,30.0,14.0,24.0,2.0,21.0,0.0,22.0,29.0,0.0,0.714,1.224,0.102,1.071,0.0,1.122,1.48,0.0
2019,Abilene Christian,Damion Rosser,2001.0,2030.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Ellis Jones,69.0,69.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Hayden Farquhar,2010.0,2010.0,2.0,30.0,8.0,25.0,0.0,7.0,0.0,32.0,49.0,2.0,0.398,1.244,0.0,0.348,0.0,1.592,2.438,0.1
2019,Abilene Christian,Hayden Koval,2100.0,2115.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Jalone Friday,1301.5,1289.1,20.0,19.0,8.0,64.0,1.0,14.0,0.0,54.0,41.0,5.0,0.615,4.917,0.077,1.076,0.0,4.149,3.15,0.384
2019,Abilene Christian,Jaren Lewis,2014.5,1999.5,20.0,30.0,44.0,139.0,2.0,32.0,0.0,122.0,129.0,9.0,2.184,6.9,0.099,1.588,0.0,6.056,6.404,0.447
2019,Abilene Christian,Jaylen Franklin,2031.2,2008.2,17.0,30.0,65.0,93.0,0.0,42.0,0.0,119.0,125.0,18.0,3.2,4.579,0.0,2.068,0.0,5.859,6.154,0.886
2019,Abilene Christian,Joe Pleasant,0.0,0.0,0.0,30.0,17.0,60.0,0.0,2.0,0.0,70.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Jorge Rosa,1610.0,1633.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Kai Mitchell,2400.0,2430.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Kareem South,1876.0,1876.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Kevin Johnson,1755.0,1728.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Kevon Harris,1612.0,1612.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Khaleem Bennett,1924.0,1924.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Kolton Kohl,1728.0,1741.5,2.0,27.0,8.0,24.0,0.0,1.0,0.0,34.0,19.0,3.0,0.463,1.389,0.0,0.058,0.0,1.968,1.1,0.174
2019,Abilene Christian,Malik Brevard,2156.0,2128.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Marcus Harris,1943.0,1972.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Marlain Veal,1999.5,1984.0,2.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
2019,Abilene Christian,Menno Dijkstra,1560.0,1560.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Michael Kolawole,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,NA,2074.0,2072.0,31.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Abilene Christian,Nick Garth,1809.0,1809.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
