duration_sec,error,from_cache,params,path,status,ts_utc
0.175,,False,"{""season"": 2026}",/teams,200,2026-03-09T22:02:37.576073+00:00
0.273,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Siena""}",/games,200,2026-03-09T22:02:38.003696+00:00
6.482,,False,"{""season"": 2026, ""team"": ""Siena""}",/plays/team,200,2026-03-09T22:02:44.638026+00:00
0.539,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Florida""}",/games,200,2026-03-09T22:02:46.390094+00:00
7.7,,False,"{""season"": 2026, ""team"": ""Florida""}",/plays/team,200,2026-03-09T22:02:54.241897+00:00
0.338,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Iowa""}",/games,200,2026-03-09T22:02:56.046926+00:00
7.35,,False,"{""season"": 2026, ""team"": ""Iowa""}",/plays/team,200,2026-03-09T22:03:03.549497+00:00
0.305,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Louisiana""}",/games,200,2026-03-09T22:03:05.039088+00:00
8.135,,False,"{""season"": 2026, ""team"": ""Louisiana""}",/plays/team,200,2026-03-09T22:03:13.326873+00:00
0.356,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Purdue""}",/games,200,2026-03-09T22:03:15.084211+00:00
6.607,,False,"{""season"": 2026, ""team"": ""Purdue""}",/plays/team,200,2026-03-09T22:03:21.842933+00:00
0.27,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Bradley""}",/games,200,2026-03-09T22:03:23.374765+00:00
8.291,,False,"{""season"": 2026, ""team"": ""Bradley""}",/plays/team,200,2026-03-09T22:03:31.817664+00:00
0.262,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Iowa State""}",/games,200,2026-03-09T22:03:33.629314+00:00
6.962,,False,"{""season"": 2026, ""team"": ""Iowa State""}",/plays/team,200,2026-03-09T22:03:40.743358+00:00
0.276,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Nevada""}",/games,200,2026-03-09T22:03:42.397004+00:00
7.024,,False,"{""season"": 2026, ""team"": ""Nevada""}",/plays/team,200,2026-03-09T22:03:49.573554+00:00
0.337,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""UC Irvine""}",/games,200,2026-03-09T22:03:51.267871+00:00
8.261,,False,"{""season"": 2026, ""team"": ""UC Irvine""}",/plays/team,200,2026-03-09T22:03:59.681139+00:00
0.432,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""UC Santa Barbara""}",/games,200,2026-03-09T22:04:01.612248+00:00
8.624,,False,"{""season"": 2026, ""team"": ""UC Santa Barbara""}",/plays/team,200,2026-03-09T22:04:10.388979+00:00
