duration_sec,error,from_cache,params,path,status,ts_utc
0.299,,False,"{""season"": 2026}",/teams,200,2026-03-09T22:58:19.563174+00:00
0.324,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Fairleigh Dickinson""}",/games,200,2026-03-09T22:58:20.041942+00:00
6.698,,False,"{""season"": 2026, ""team"": ""Fairleigh Dickinson""}",/plays/team,200,2026-03-09T22:58:26.891819+00:00
0.348,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""South Carolina State""}",/games,200,2026-03-09T22:58:28.619081+00:00
7.082,,False,"{""season"": 2026, ""team"": ""South Carolina State""}",/plays/team,200,2026-03-09T22:58:35.853614+00:00
0.376,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Sacramento State""}",/games,200,2026-03-09T22:58:37.705917+00:00
6.791,,False,"{""season"": 2026, ""team"": ""Sacramento State""}",/plays/team,200,2026-03-09T22:58:44.648848+00:00
0.357,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Stephen F. Austin""}",/games,200,2026-03-09T22:58:46.518717+00:00
6.479,,False,"{""season"": 2026, ""team"": ""Stephen F. Austin""}",/plays/team,200,2026-03-09T22:58:53.150000+00:00
0.334,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Stetson""}",/games,200,2026-03-09T22:58:55.063197+00:00
6.725,,False,"{""season"": 2026, ""team"": ""Stetson""}",/plays/team,200,2026-03-09T22:59:01.940914+00:00
0.358,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""North Carolina Central""}",/games,200,2026-03-09T22:59:03.907621+00:00
5.963,,False,"{""season"": 2026, ""team"": ""North Carolina Central""}",/plays/team,200,2026-03-09T22:59:10.023323+00:00
0.319,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""UC Riverside""}",/games,200,2026-03-09T22:59:11.560314+00:00
7.016,,False,"{""season"": 2026, ""team"": ""UC Riverside""}",/plays/team,200,2026-03-09T22:59:18.728290+00:00
0.367,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""UNLV""}",/games,200,2026-03-09T22:59:20.494451+00:00
6.145,,False,"{""season"": 2026, ""team"": ""UNLV""}",/plays/team,200,2026-03-09T22:59:26.791906+00:00
0.338,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Vanderbilt""}",/games,200,2026-03-09T22:59:28.880752+00:00
6.7,,False,"{""season"": 2026, ""team"": ""Vanderbilt""}",/plays/team,200,2026-03-09T22:59:35.733154+00:00
0.342,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Wagner""}",/games,200,2026-03-09T22:59:37.454142+00:00
7.169,,False,"{""season"": 2026, ""team"": ""Wagner""}",/plays/team,200,2026-03-09T22:59:44.775142+00:00
0.344,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Wichita State""}",/games,200,2026-03-09T22:59:46.444657+00:00
5.815,,False,"{""season"": 2026, ""team"": ""Wichita State""}",/plays/team,200,2026-03-09T22:59:52.411761+00:00
0.378,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Central Michigan""}",/games,200,2026-03-09T22:59:54.155186+00:00
6.64,,False,"{""season"": 2026, ""team"": ""Central Michigan""}",/plays/team,200,2026-03-09T23:00:00.947404+00:00
0.44,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Georgia""}",/games,200,2026-03-09T23:00:03.368575+00:00
9.612,,False,"{""season"": 2026, ""team"": ""Georgia""}",/plays/team,200,2026-03-09T23:00:13.133350+00:00
0.776,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Georgia Southern""}",/games,200,2026-03-09T23:00:15.451372+00:00
12.161,,False,"{""season"": 2026, ""team"": ""Georgia Southern""}",/plays/team,200,2026-03-09T23:00:27.764896+00:00
0.474,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Northern Illinois""}",/games,200,2026-03-09T23:00:29.843031+00:00
9.247,,False,"{""season"": 2026, ""team"": ""Northern Illinois""}",/plays/team,200,2026-03-09T23:00:39.242501+00:00
0.363,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Utah Valley""}",/games,200,2026-03-09T23:00:40.945269+00:00
7.383,,False,"{""season"": 2026, ""team"": ""Utah Valley""}",/plays/team,200,2026-03-09T23:00:48.480846+00:00
0.399,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Indiana""}",/games,200,2026-03-09T23:00:50.249821+00:00
6.91,,False,"{""season"": 2026, ""team"": ""Indiana""}",/plays/team,200,2026-03-09T23:00:57.312019+00:00
0.349,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Loyola Maryland""}",/games,200,2026-03-09T23:00:58.952631+00:00
9.32,,False,"{""season"": 2026, ""team"": ""Loyola Maryland""}",/plays/team,200,2026-03-09T23:01:08.424558+00:00
