duration_sec,error,from_cache,params,path,status,ts_utc
0.241,,False,"{""season"": 2026}",/teams,200,2026-03-09T22:30:35.046072+00:00
0.302,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Southern Utah""}",/games,200,2026-03-09T22:30:35.503269+00:00
7.611,,False,"{""season"": 2026, ""team"": ""Southern Utah""}",/plays/team,200,2026-03-09T22:30:43.266653+00:00
0.391,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""SMU""}",/games,200,2026-03-09T22:30:45.049047+00:00
6.509,,False,"{""season"": 2026, ""team"": ""SMU""}",/plays/team,200,2026-03-09T22:30:51.710161+00:00
0.337,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""South Carolina""}",/games,200,2026-03-09T22:30:53.448700+00:00
6.897,,False,"{""season"": 2026, ""team"": ""South Carolina""}",/plays/team,200,2026-03-09T22:31:00.497473+00:00
0.362,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Saint Peter's""}",/games,200,2026-03-09T22:31:02.395704+00:00
6.684,,False,"{""season"": 2026, ""team"": ""Saint Peter's""}",/plays/team,200,2026-03-09T22:31:09.231445+00:00
0.327,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Syracuse""}",/games,200,2026-03-09T22:31:11.070043+00:00
6.346,,False,"{""season"": 2026, ""team"": ""Syracuse""}",/plays/team,200,2026-03-09T22:31:17.568260+00:00
0.315,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Seattle U""}",/games,200,2026-03-09T22:31:19.247401+00:00
7.136,,False,"{""season"": 2026, ""team"": ""Seattle U""}",/plays/team,200,2026-03-09T22:31:26.535716+00:00
0.356,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Missouri State""}",/games,200,2026-03-09T22:31:28.330129+00:00
7.515,,False,"{""season"": 2026, ""team"": ""Missouri State""}",/plays/team,200,2026-03-09T22:31:35.997346+00:00
0.325,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Villanova""}",/games,200,2026-03-09T22:31:37.775602+00:00
7.193,,False,"{""season"": 2026, ""team"": ""Villanova""}",/plays/team,200,2026-03-09T22:31:45.121042+00:00
0.317,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""VMI""}",/games,200,2026-03-09T22:31:46.779409+00:00
7.803,,False,"{""season"": 2026, ""team"": ""VMI""}",/plays/team,200,2026-03-09T22:31:54.734340+00:00
0.354,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Western Kentucky""}",/games,200,2026-03-09T22:31:56.452117+00:00
8.555,,False,"{""season"": 2026, ""team"": ""Western Kentucky""}",/plays/team,200,2026-03-09T22:32:05.159666+00:00
0.368,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Western Michigan""}",/games,200,2026-03-09T22:32:07.030159+00:00
7.583,,False,"{""season"": 2026, ""team"": ""Western Michigan""}",/plays/team,200,2026-03-09T22:32:14.765338+00:00
0.423,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Xavier""}",/games,200,2026-03-09T22:32:16.641601+00:00
7.474,,False,"{""season"": 2026, ""team"": ""Xavier""}",/plays/team,200,2026-03-09T22:32:24.267550+00:00
0.414,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Mercer""}",/games,200,2026-03-09T22:32:26.062121+00:00
7.463,,False,"{""season"": 2026, ""team"": ""Mercer""}",/plays/team,200,2026-03-09T22:32:33.677769+00:00
0.315,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""UAlbany""}",/games,200,2026-03-09T22:32:35.398793+00:00
6.162,,False,"{""season"": 2026, ""team"": ""UAlbany""}",/plays/team,200,2026-03-09T22:32:41.712482+00:00
0.313,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Oregon""}",/games,200,2026-03-09T22:32:43.322525+00:00
