season,team,player,off_possessions,def_possessions,unassisted_rim_makes,unassisted_mid_makes,unassisted_3pm,rim_assists,off_fouls_drawn,fta,rim_att,dunks_made,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,rim_assists_100,off_fouls_drawn_100,fta_100,rim_att_100,dunks_100
2023,Abilene Christian,Abilene Christian,339.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Abilene Christian,Airion Simmons,1184.0,1179.0,24.0,41.0,2.0,48.0,0.0,43.0,82.0,1.0,2.027,3.463,0.169,4.054,0.0,3.632,6.926,0.084
2023,Abilene Christian,Ali Abdou Dibba,686.0,684.0,43.0,63.0,0.0,15.0,0.0,70.0,154.0,7.0,6.268,9.184,0.0,2.187,0.0,10.204,22.449,1.02
2023,Abilene Christian,Cameron Steele,439.0,436.0,8.0,18.0,1.0,6.0,0.0,25.0,33.0,1.0,1.822,4.1,0.228,1.367,0.0,5.695,7.517,0.228
2023,Abilene Christian,Colby Tanner,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Abilene Christian,Damien Daniels,1400.0,1394.0,45.0,55.0,1.0,52.0,0.0,58.0,101.0,0.0,3.214,3.929,0.071,3.714,0.0,4.143,7.214,0.0
2023,Abilene Christian,Hunter-Jack Madden,627.0,625.0,12.0,53.0,0.0,18.0,0.0,58.0,39.0,0.0,1.914,8.453,0.0,2.871,0.0,9.25,6.22,0.0
2023,Abilene Christian,Immanuel Allen,1086.0,1082.0,24.0,69.0,1.0,11.0,0.0,85.0,68.0,3.0,2.21,6.354,0.092,1.013,0.0,7.827,6.262,0.276
2023,Abilene Christian,JV Seat,0.0,0.0,5.0,8.0,0.0,2.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Abilene Christian,Ja'Sean Jackson,0.0,0.0,7.0,16.0,4.0,15.0,0.0,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Abilene Christian,Joe Pleasant,1092.0,1088.0,33.0,61.0,0.0,3.0,0.0,86.0,106.0,9.0,3.022,5.586,0.0,0.275,0.0,7.875,9.707,0.824
2023,Abilene Christian,Leonardo Bettiol,0.0,0.0,14.0,20.0,0.0,1.0,0.0,28.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Abilene Christian,Muodubem Muoneke,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Abilene Christian,NA,2099.0,2094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Abilene Christian,Tobias Cameron,1483.0,1477.0,28.0,76.0,2.0,33.0,0.0,86.0,89.0,0.0,1.888,5.125,0.135,2.225,0.0,5.799,6.001,0.0
2023,Abilene Christian,Yuot Gai,0.0,0.0,6.0,5.0,0.0,3.0,0.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Academy of Art University,Deang Deang,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Academy of Art University,Jamal Fuller,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Academy of Art University,Klay Brown,70.0,70.0,1.0,4.0,1.0,1.0,0.0,3.0,4.0,0.0,1.429,5.714,1.429,1.429,0.0,4.286,5.714,0.0
2023,Academy of Art University,Latrell Williams,69.0,69.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,1.449,1.449,0.0,1.449,0.0,1.449,8.696,0.0
2023,Academy of Art University,Mike Asante,70.0,70.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,5.714,1.429,0.0,0.0,10.0,0.0,0.0
2023,Academy of Art University,NA,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Academy of Art University,Richard Rivers Jr,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Academy of Art University,Richard Rivers Jr.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Academy of Art University,Rodney Munson,71.0,71.0,0.0,4.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,5.634,1.408,0.0,0.0,8.451,1.408,0.0
2023,Academy of Art University,Stephon Hall,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Air Force,Air Force,254.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Air Force,Beau Becker,815.0,809.0,3.0,19.0,1.0,7.0,0.0,24.0,42.0,7.0,0.368,2.331,0.123,0.859,0.0,2.945,5.153,0.859
2023,Air Force,Byron Brown,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Air Force,Camden Vander Zwaag,768.0,764.0,12.0,36.0,2.0,16.0,0.0,32.0,34.0,3.0,1.562,4.688,0.26,2.083,0.0,4.167,4.427,0.391
2023,Air Force,Carter Murphy,0.0,0.0,19.0,51.0,2.0,15.0,0.0,39.0,69.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Air Force,Chase Beasley,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Air Force,Corbin Green,560.0,557.0,9.0,37.0,0.0,16.0,0.0,50.0,61.0,17.0,1.607,6.607,0.0,2.857,0.0,8.929,10.893,3.036
2023,Air Force,Ethan Taylor,1320.0,1313.0,15.0,29.0,6.0,31.0,0.0,36.0,47.0,6.0,1.136,2.197,0.455,2.348,0.0,2.727,3.561,0.455
