season,player_name,team,pid,listed_height_raw,listed_height,listed_height_inches,predicted_profile_height_inches,predicted_profile_height,height_delta_inches,height_profile_label,predicted_big_profile_height_inches,predicted_big_profile_height,big_height_delta_inches,big_height_profile_label
2023,Jailyn Ingram,Georgia,44344,6-7,"6'7""",79.0,74.58,"6'3""",-4.42,plays_shorter,74.58,"6'3""",-4.42,plays_shorter
2023,Deandre Dishman,Middle Tennessee,45840,6-6,"6'6""",78.0,79.77,"6'8""",1.77,plays_taller,79.77,"6'8""",1.77,plays_taller
2023,DeJuan Clayton,California,46161,6-2,"6'2""",74.0,72.45,"6'0""",-1.55,plays_shorter,72.45,"6'0""",-1.55,plays_shorter
2023,Brevin Galloway,Clemson,46357,6-2,"6'2""",74.0,76.42,"6'4""",2.42,plays_taller,76.42,"6'4""",2.42,plays_taller
2023,Michael Henn,Penn St.,46366,6-8,"6'8""",80.0,76.29,"6'4""",-3.71,plays_shorter,76.29,"6'4""",-3.71,plays_shorter
2023,David Maynard,The Citadel,50190,6-4,"6'4""",76.0,75.14,"6'3""",-0.86,plays_shorter,75.14,"6'3""",-0.86,plays_shorter
2023,Andrew Platek,Siena,50194,6-4,"6'4""",76.0,74.75,"6'3""",-1.25,plays_shorter,74.75,"6'3""",-1.25,plays_shorter
2023,Jack Perry,Portland,50217,6-3,"6'3""",75.0,73.16,"6'1""",-1.84,plays_shorter,73.16,"6'1""",-1.84,plays_shorter
2023,Ra Kpedi,Purdue Fort Wayne,50219,6-9,"6'9""",81.0,80.89,"6'9""",-0.11,plays_at_height,80.89,"6'9""",-0.11,plays_at_height
2023,Emmanuel Akot,Western Kentucky,50224,6-8,"6'8""",80.0,76.35,"6'4""",-3.65,plays_shorter,76.35,"6'4""",-3.65,plays_shorter
2023,Justice Sueing,Ohio St.,50231,6-6,"6'6""",78.0,78.14,"6'6""",0.14,plays_at_height,78.14,"6'6""",0.14,plays_at_height
2023,Kobe King,Valparaiso,50235,6-4,"6'4""",76.0,77.02,"6'5""",1.02,plays_taller,77.02,"6'5""",1.02,plays_taller
2023,Parker Stewart,Tennessee Martin,50250,6-5,"6'5""",77.0,75.98,"6'4""",-1.02,plays_shorter,75.98,"6'4""",-1.02,plays_shorter
2023,Marcus Carr,Texas,50253,6-2,"6'2""",74.0,75.27,"6'3""",1.27,plays_taller,75.27,"6'3""",1.27,plays_taller
2023,Jordan Davis,Jacksonville,50275,6-3,"6'3""",75.0,77.53,"6'6""",2.53,plays_taller,77.53,"6'6""",2.53,plays_taller
2023,Luka Vasic,East Texas A&M,50286,6-8,"6'8""",80.0,74.91,"6'3""",-5.09,plays_shorter,74.91,"6'3""",-5.09,plays_shorter
2023,Nike Sibande,Pittsburgh,50290,6-4,"6'4""",76.0,77.19,"6'5""",1.19,plays_taller,77.19,"6'5""",1.19,plays_taller
2023,Tydus Verhoeven,Northwestern,50312,6-9,"6'9""",81.0,79.28,"6'7""",-1.72,plays_shorter,79.28,"6'7""",-1.72,plays_shorter
2023,Eric Williams Jr.,San Diego,50314,6-7,"6'7""",79.0,79.95,"6'8""",0.95,plays_taller,79.95,"6'8""",0.95,plays_taller
2023,Darius McNeill,Troy,50351,6-3,"6'3""",75.0,76.29,"6'4""",1.29,plays_taller,76.29,"6'4""",1.29,plays_taller
2023,Bryan Trimble Jr.,Missouri St.,50363,6-3,"6'3""",75.0,74.33,"6'2""",-0.67,plays_at_height,74.33,"6'2""",-0.67,plays_at_height
2023,Marco Anthony,Utah,50369,6-6,"6'6""",78.0,78.16,"6'6""",0.16,plays_at_height,78.16,"6'6""",0.16,plays_at_height
2023,Nelly Cummings,Pittsburgh,50413,6-0,"6'0""",72.0,74.45,"6'2""",2.45,plays_taller,74.45,"6'2""",2.45,plays_taller
2023,Desmond Cambridge Jr.,Arizona St.,50454,6-4,"6'4""",76.0,77.27,"6'5""",1.27,plays_taller,77.27,"6'5""",1.27,plays_taller
2023,Ejike Obinna,Saint Joseph's,50481,6-10,"6'10""",82.0,80.8,"6'9""",-1.2,plays_shorter,80.8,"6'9""",-1.2,plays_shorter
2023,Joe Quintana,Cal Baptist,50491,6-2,"6'2""",74.0,74.35,"6'2""",0.35,plays_at_height,74.35,"6'2""",0.35,plays_at_height
2023,Jerald Gillens-Butler,Elon,50551,6-5,"6'5""",77.0,75.77,"6'4""",-1.23,plays_shorter,75.77,"6'4""",-1.23,plays_shorter
2023,Cooper Neese,Indiana St.,50552,6-4,"6'4""",76.0,76.03,"6'4""",0.03,plays_at_height,76.03,"6'4""",0.03,plays_at_height
2023,Malek Green,Youngstown St.,50569,6-7,"6'7""",79.0,79.33,"6'7""",0.33,plays_at_height,79.33,"6'7""",0.33,plays_at_height
2023,Greg Elliott,Pittsburgh,50590,6-3,"6'3""",75.0,75.49,"6'3""",0.49,plays_at_height,75.49,"6'3""",0.49,plays_at_height
2023,Makai Ashton-Langford,Boston College,50594,6-3,"6'3""",75.0,77.11,"6'5""",2.11,plays_taller,77.11,"6'5""",2.11,plays_taller
2023,Walter Whyte,Boston University,50619,6-6,"6'6""",78.0,78.03,"6'6""",0.03,plays_at_height,78.03,"6'6""",0.03,plays_at_height
2023,Connor McCaffery,Iowa,50631,6-6,"6'6""",78.0,76.7,"6'5""",-1.3,plays_shorter,76.7,"6'5""",-1.3,plays_shorter
2023,Marquis Godwin,Hampton,50642,6-5,"6'5""",77.0,73.62,"6'2""",-3.38,plays_shorter,73.62,"6'2""",-3.38,plays_shorter
2023,Ricky Nelson,Prairie View A&M,50666,6-1,"6'1""",73.0,74.3,"6'2""",1.3,plays_taller,74.3,"6'2""",1.3,plays_taller
2023,Will Douglas,Prairie View A&M,50683,6-5,"6'5""",77.0,77.8,"6'6""",0.8,plays_taller,77.8,"6'6""",0.8,plays_taller
2023,Justyn Mutts,Virginia Tech,50689,6-7,"6'7""",79.0,80.23,"6'8""",1.23,plays_taller,80.23,"6'8""",1.23,plays_taller
2023,Sarju Patel,Albany,50697,6-3,"6'3""",75.0,75.3,"6'3""",0.3,plays_at_height,75.3,"6'3""",0.3,plays_at_height
2023,Victor Enoh,UNC Wilmington,50699,6-8,"6'8""",80.0,77.35,"6'5""",-2.65,plays_shorter,77.35,"6'5""",-2.65,plays_shorter
2023,Jamal Johnson,Chattanooga,50709,6-4,"6'4""",76.0,76.02,"6'4""",0.02,plays_at_height,76.02,"6'4""",0.02,plays_at_height
2023,Dan Akin,Utah St.,50718,6-9,"6'9""",81.0,82.5,"6'10""",1.5,plays_taller,82.5,"6'10""",1.5,plays_taller
2023,Abayomi Iyiola,Kansas St.,50741,6-10,"6'10""",82.0,80.3,"6'8""",-1.7,plays_shorter,80.3,"6'8""",-1.7,plays_shorter
2023,Taylor Funk,Utah St.,50749,6-9,"6'9""",81.0,78.58,"6'7""",-2.42,plays_shorter,78.58,"6'7""",-2.42,plays_shorter
2023,Hunter Maldonado,Wyoming,50768,6-7,"6'7""",79.0,77.97,"6'6""",-1.03,plays_shorter,77.97,"6'6""",-1.03,plays_shorter
2023,Dwight Wilson III,Ohio,50779,6-8,"6'8""",80.0,81.05,"6'9""",1.05,plays_taller,81.05,"6'9""",1.05,plays_taller
2023,Chauncey Hawkins,Bryant,50783,5-8,"5'8""",68.0,75.22,"6'3""",7.22,plays_taller,75.22,"6'3""",7.22,plays_taller
2023,Caleb Daniels,Villanova,50797,6-4,"6'4""",76.0,76.79,"6'5""",0.79,plays_taller,76.79,"6'5""",0.79,plays_taller
2023,Felipe Haase,Southern Miss,50851,6-9,"6'9""",81.0,78.02,"6'6""",-2.98,plays_shorter,78.02,"6'6""",-2.98,plays_shorter
2023,Marcus Shaver Jr.,Boise St.,50870,6-2,"6'2""",74.0,77.24,"6'5""",3.24,plays_taller,77.24,"6'5""",3.24,plays_taller
2023,Sam Iorio,Niagara,50878,6-7,"6'7""",79.0,79.04,"6'7""",0.04,plays_at_height,79.04,"6'7""",0.04,plays_at_height
2023,Devon Cooper,George Mason,50880,6-4,"6'4""",76.0,75.43,"6'3""",-0.57,plays_at_height,75.43,"6'3""",-0.57,plays_at_height
2023,A.J. Oliver II,Detroit Mercy,50911,6-5,"6'5""",77.0,77.49,"6'5""",0.49,plays_at_height,77.49,"6'5""",0.49,plays_at_height
2023,Clifton Moore,Providence,50927,6-11,"6'11""",83.0,81.47,"6'9""",-1.53,plays_shorter,81.47,"6'9""",-1.53,plays_shorter
2023,Noah Baumann,Grand Canyon,50939,6-6,"6'6""",78.0,75.37,"6'3""",-2.63,plays_shorter,75.37,"6'3""",-2.63,plays_shorter
2023,Jacob Grandison,Duke,50942,6-6,"6'6""",78.0,76.78,"6'5""",-1.22,plays_shorter,76.78,"6'5""",-1.22,plays_shorter
2023,Cameron Christon,Grambling St.,50957,6-6,"6'6""",78.0,78.46,"6'6""",0.46,plays_at_height,78.46,"6'6""",0.46,plays_at_height
2023,Roman Penn,Drake,50994,6-0,"6'0""",72.0,76.53,"6'5""",4.53,plays_taller,76.53,"6'5""",4.53,plays_taller
2023,Lewis Djonkam,Morgan St.,51000,6-9,"6'9""",81.0,77.23,"6'5""",-3.77,plays_shorter,77.23,"6'5""",-3.77,plays_shorter
2023,David Jenkins Jr.,Purdue,51013,6-1,"6'1""",73.0,73.75,"6'2""",0.75,plays_at_height,73.75,"6'2""",0.75,plays_at_height
2023,Hayden Brown,South Carolina,51021,6-5,"6'5""",77.0,78.39,"6'6""",1.39,plays_taller,78.39,"6'6""",1.39,plays_taller
2023,Greg Parham,South Alabama,51047,6-4,"6'4""",76.0,74.55,"6'3""",-1.45,plays_shorter,74.55,"6'3""",-1.45,plays_shorter
2023,Bubba Parham,Samford,51048,5-11,"5'11""",71.0,74.62,"6'3""",3.62,plays_taller,74.62,"6'3""",3.62,plays_taller
2023,Ledarrius Brewer,UAB,51100,6-5,"6'5""",77.0,76.93,"6'5""",-0.07,plays_at_height,76.93,"6'5""",-0.07,plays_at_height
2023,Samuta Avea,Hawaii,51111,6-6,"6'6""",78.0,77.86,"6'6""",-0.14,plays_at_height,77.86,"6'6""",-0.14,plays_at_height
2023,Kris Bankston,Norfolk St.,51114,6-9,"6'9""",81.0,83.31,"6'11""",2.31,plays_taller,83.31,"6'11""",2.31,plays_taller
