season,player_name,team,pid,listed_height_raw,listed_height,listed_height_inches,predicted_profile_height_inches,predicted_profile_height,height_delta_inches,height_profile_label,predicted_big_profile_height_inches,predicted_big_profile_height,big_height_delta_inches,big_height_profile_label
2022,Jalen Coleman-Lands,Kansas,40204,6-4,"6'4""",76.0,75.36,"6'3""",-0.64,plays_at_height,75.36,"6'3""",-0.64,plays_at_height
2022,Camron Justice,Western Kentucky,42129,6-3,"6'3""",75.0,74.82,"6'3""",-0.18,plays_at_height,74.82,"6'3""",-0.18,plays_at_height
2022,Traci Carter,Hartford,42956,6-1,"6'1""",73.0,74.83,"6'3""",1.83,plays_taller,74.83,"6'3""",1.83,plays_taller
2022,Jeriah Horne,Tulsa,44216,6-7,"6'7""",79.0,78.17,"6'6""",-0.83,plays_shorter,78.17,"6'6""",-0.83,plays_shorter
2022,Eric Curry,Minnesota,44217,6-9,"6'9""",81.0,77.64,"6'6""",-3.36,plays_shorter,77.64,"6'6""",-3.36,plays_shorter
2022,James Butler,Drexel,44288,6-8,"6'8""",80.0,80.1,"6'8""",0.1,plays_at_height,80.1,"6'8""",0.1,plays_at_height
2022,Jailyn Ingram,Georgia,44344,6-7,"6'7""",79.0,77.98,"6'6""",-1.02,plays_shorter,77.98,"6'6""",-1.02,plays_shorter
2022,Charlie Moore,Miami FL,44420,5-11,"5'11""",71.0,75.31,"6'3""",4.31,plays_taller,75.31,"6'3""",4.31,plays_taller
2022,Ben Shungu,Vermont,44546,6-2,"6'2""",74.0,77.68,"6'6""",3.68,plays_taller,77.68,"6'6""",3.68,plays_taller
2022,Keon Clergeot,Southeastern Louisiana,44685,6-1,"6'1""",73.0,75.54,"6'4""",2.54,plays_taller,75.54,"6'4""",2.54,plays_taller
2022,Bryce Aiken,Seton Hall,44711,6-0,"6'0""",72.0,75.2,"6'3""",3.2,plays_taller,75.2,"6'3""",3.2,plays_taller
2022,Peter Kiss,Bryant,44721,6-5,"6'5""",77.0,78.56,"6'7""",1.56,plays_taller,78.56,"6'7""",1.56,plays_taller
2022,Kevin Marfo,Quinnipiac,44755,6-8,"6'8""",80.0,81.76,"6'10""",1.76,plays_taller,81.76,"6'10""",1.76,plays_taller
2022,Jair Bolden,Butler,44756,6-3,"6'3""",75.0,75.21,"6'3""",0.21,plays_at_height,75.21,"6'3""",0.21,plays_at_height
2022,Colin Slater,Long Beach St.,44757,6-1,"6'1""",73.0,74.52,"6'3""",1.52,plays_taller,74.52,"6'3""",1.52,plays_taller
2022,Davion Mintz,Kentucky,44793,6-3,"6'3""",75.0,76.22,"6'4""",1.22,plays_taller,76.22,"6'4""",1.22,plays_taller
2022,Tyson Jolly,Iona,44846,6-4,"6'4""",76.0,78.33,"6'6""",2.33,plays_taller,78.33,"6'6""",2.33,plays_taller
2022,AJ Wilson,South Carolina,44849,6-7,"6'7""",79.0,80.21,"6'8""",1.21,plays_taller,80.21,"6'8""",1.21,plays_taller
2022,Xavier Green,Maryland,44944,6-6,"6'6""",78.0,76.68,"6'5""",-1.32,plays_shorter,76.68,"6'5""",-1.32,plays_shorter
2022,Tareq Coburn,St. John's,45017,6-5,"6'5""",77.0,75.71,"6'4""",-1.29,plays_shorter,75.71,"6'4""",-1.29,plays_shorter
2022,Tavian Dunn-Martin,Florida Gulf Coast,45090,5-8,"5'8""",68.0,74.65,"6'3""",6.65,plays_taller,74.65,"6'3""",6.65,plays_taller
2022,Jakolby Long,Bethune Cookman,45184,6-4,"6'4""",76.0,75.35,"6'3""",-0.65,plays_at_height,75.35,"6'3""",-0.65,plays_at_height
2022,Taze Moore,Houston,45252,6-5,"6'5""",77.0,79.31,"6'7""",2.31,plays_taller,79.31,"6'7""",2.31,plays_taller
2022,Justin Edler-Davis,Cal St. Bakersfield,45253,6-4,"6'4""",76.0,77.84,"6'6""",1.84,plays_taller,77.84,"6'6""",1.84,plays_taller
2022,Greg Lee,Penn St.,45254,6-9,"6'9""",81.0,78.31,"6'6""",-2.69,plays_shorter,78.31,"6'6""",-2.69,plays_shorter
2022,Brandon Johnson,DePaul,45288,6-8,"6'8""",80.0,77.99,"6'6""",-2.01,plays_shorter,77.99,"6'6""",-2.01,plays_shorter
2022,Nick Robinson,Western Carolina,45304,6-6,"6'6""",78.0,77.18,"6'5""",-0.82,plays_shorter,77.18,"6'5""",-0.82,plays_shorter
2022,Grant Golden,Richmond,45309,6-10,"6'10""",82.0,78.92,"6'7""",-3.08,plays_shorter,78.92,"6'7""",-3.08,plays_shorter
2022,De'Monte Buckingham,UNC Greensboro,45310,6-4,"6'4""",76.0,78.28,"6'6""",2.28,plays_taller,78.28,"6'6""",2.28,plays_taller
2022,Nick Sherod,Richmond,45311,6-4,"6'4""",76.0,74.51,"6'3""",-1.49,plays_shorter,74.51,"6'3""",-1.49,plays_shorter
2022,Randy Miller Jr.,North Carolina Central,45477,6-2,"6'2""",74.0,74.27,"6'2""",0.27,plays_at_height,74.27,"6'2""",0.27,plays_at_height
2022,Scott Spencer,Tulane,45562,6-6,"6'6""",78.0,75.98,"6'4""",-2.02,plays_shorter,75.98,"6'4""",-2.02,plays_shorter
2022,Eron Gordon,Valparaiso,45571,6-3,"6'3""",75.0,77.23,"6'5""",2.23,plays_taller,77.23,"6'5""",2.23,plays_taller
2022,Mitch Lightfoot,Kansas,45620,6-8,"6'8""",80.0,81.54,"6'10""",1.54,plays_taller,81.54,"6'10""",1.54,plays_taller
2022,Nate Johnson,Xavier,45625,6-4,"6'4""",76.0,75.82,"6'4""",-0.18,plays_at_height,75.82,"6'4""",-0.18,plays_at_height
2022,Drew Buggs,Winthrop,45642,6-3,"6'3""",75.0,75.37,"6'3""",0.37,plays_at_height,75.37,"6'3""",0.37,plays_at_height
2022,DJ Jones,Florida A&M,45744,6-9,"6'9""",81.0,79.45,"6'7""",-1.55,plays_shorter,79.45,"6'7""",-1.55,plays_shorter
2022,Keith Fisher III,Pepperdine,45815,6-8,"6'8""",80.0,77.94,"6'6""",-2.06,plays_shorter,77.94,"6'6""",-2.06,plays_shorter
2022,Ben Coupet Jr.,Southern Illinois,45818,6-7,"6'7""",79.0,77.75,"6'6""",-1.25,plays_shorter,77.75,"6'6""",-1.25,plays_shorter
2022,Kenny Cooper,Tennessee St.,45823,6-1,"6'1""",73.0,75.03,"6'3""",2.03,plays_taller,75.03,"6'3""",2.03,plays_taller
2022,Monty Scott,Eastern Michigan,45828,6-5,"6'5""",77.0,74.57,"6'3""",-2.43,plays_shorter,74.57,"6'3""",-2.43,plays_shorter
