season,player_name,team,pid,listed_height_raw,listed_height,listed_height_inches,predicted_profile_height_inches,predicted_profile_height,height_delta_inches,height_profile_label,predicted_big_profile_height_inches,predicted_big_profile_height,big_height_delta_inches,big_height_profile_label
2019,Josh Warren,Cornell,27085,6-8,"6'8""",80.0,77.84,"6'6""",-2.16,plays_shorter,77.84,"6'6""",-2.16,plays_shorter
2019,Luke Worthington,BYU,30969,6-10,"6'10""",82.0,77.62,"6'6""",-4.38,plays_shorter,77.62,"6'6""",-4.38,plays_shorter
2019,Dontel Highsmith,Cleveland St.,31053,6-2,"6'2""",74.0,74.76,"6'3""",0.76,plays_taller,74.76,"6'3""",0.76,plays_taller
2019,Emmanuel Toney,Texas A&M Corpus Chris,31389,6-2,"6'2""",74.0,75.32,"6'3""",1.32,plays_taller,75.32,"6'3""",1.32,plays_taller
2019,Damarion Geter,Longwood,31509,6-8,"6'8""",80.0,78.89,"6'7""",-1.11,plays_shorter,78.89,"6'7""",-1.11,plays_shorter
2019,Parker Van Dyke,Utah,32009,6-3,"6'3""",75.0,75.46,"6'3""",0.46,plays_at_height,75.46,"6'3""",0.46,plays_at_height
2019,Andre Adams,Southern Utah,32932,6-9,"6'9""",81.0,80.26,"6'8""",-0.74,plays_at_height,80.26,"6'8""",-0.74,plays_at_height
2019,Mitch Hahn,Nebraska Omaha,33470,6-8,"6'8""",80.0,77.16,"6'5""",-2.84,plays_shorter,77.16,"6'5""",-2.84,plays_shorter
2019,Ryan Andino,Maryland Eastern Shore,33478,6-2,"6'2""",74.0,73.48,"6'1""",-0.52,plays_at_height,73.48,"6'1""",-0.52,plays_at_height
2019,Chancellor Barnard,Binghamton,33513,6-4,"6'4""",76.0,80.29,"6'8""",4.29,plays_taller,80.29,"6'8""",4.29,plays_taller
2019,Keon Williams,St. Francis NY,33534,6-4,"6'4""",76.0,77.16,"6'5""",1.16,plays_taller,77.16,"6'5""",1.16,plays_taller
2019,Glenn Sanabria,St. Francis NY,33535,5-11,"5'11""",71.0,75.16,"6'3""",4.16,plays_taller,75.16,"6'3""",4.16,plays_taller
2019,Jacquil Taylor,Hofstra,33566,6-10,"6'10""",82.0,84.04,"7'0""",2.04,plays_taller,84.04,"7'0""",2.04,plays_taller
2019,Tre'Shawn Thurman,Nevada,33583,6-8,"6'8""",80.0,80.15,"6'8""",0.15,plays_at_height,80.15,"6'8""",0.15,plays_at_height
2019,Cheddi Mosely,La Salle,33628,6-3,"6'3""",75.0,75.28,"6'3""",0.28,plays_at_height,75.28,"6'3""",0.28,plays_at_height
2019,Dave Bell,Jacksonville,33635,6-9,"6'9""",81.0,83.1,"6'11""",2.1,plays_taller,83.1,"6'11""",2.1,plays_taller
2019,Jeremy Combs,Texas Southern,33642,6-7,"6'7""",79.0,81.88,"6'10""",2.88,plays_taller,81.88,"6'10""",2.88,plays_taller
2019,Dan Dwyer,Hofstra,33645,6-8,"6'8""",80.0,78.88,"6'7""",-1.12,plays_shorter,78.88,"6'7""",-1.12,plays_shorter
2019,Aaren Edmead,North Carolina A&T,33654,5-10,"5'10""",70.0,73.92,"6'2""",3.92,plays_taller,73.92,"6'2""",3.92,plays_taller
2019,Corey Henson,Nevada,33655,6-3,"6'3""",75.0,75.32,"6'3""",0.32,plays_at_height,75.32,"6'3""",0.32,plays_at_height
2019,Antonio Woods,Penn,33664,6-1,"6'1""",73.0,75.56,"6'4""",2.56,plays_taller,75.56,"6'4""",2.56,plays_taller
2019,Nathan Moran,Lipscomb,33668,5-10,"5'10""",70.0,74.43,"6'2""",4.43,plays_taller,74.43,"6'2""",4.43,plays_taller
2019,Trevor John,Drexel,33674,6-3,"6'3""",75.0,74.53,"6'3""",-0.47,plays_at_height,74.53,"6'3""",-0.47,plays_at_height
2019,Aleks Abrams,Miami OH,33677,6-8,"6'8""",80.0,80.82,"6'9""",0.82,plays_taller,80.82,"6'9""",0.82,plays_taller
2019,Zacarry Douglas,North Carolina Central,33690,6-8,"6'8""",80.0,79.31,"6'7""",-0.69,plays_at_height,79.31,"6'7""",-0.69,plays_at_height
2019,Justin Coleman,Arizona,33702,5-10,"5'10""",70.0,74.99,"6'3""",4.99,plays_taller,74.99,"6'3""",4.99,plays_taller
2019,Hassan Hussein,Southern,33721,6-9,"6'9""",81.0,77.14,"6'5""",-3.86,plays_shorter,77.14,"6'5""",-3.86,plays_shorter
2019,Josh Delaney,Sam Houston St.,33733,6-0,"6'0""",72.0,74.07,"6'2""",2.07,plays_taller,74.07,"6'2""",2.07,plays_taller
2019,Logan Power,South Dakota,33735,6-6,"6'6""",78.0,74.99,"6'3""",-3.01,plays_shorter,74.99,"6'3""",-3.01,plays_shorter
2019,Albert Almanza,Sam Houston St.,33737,6-6,"6'6""",78.0,75.09,"6'3""",-2.91,plays_shorter,75.09,"6'3""",-2.91,plays_shorter
2019,Thatch Unruh,Central Arkansas,33740,6-5,"6'5""",77.0,74.91,"6'3""",-2.09,plays_shorter,74.91,"6'3""",-2.09,plays_shorter
2019,Connor Kern,The Citadel,33768,6-4,"6'4""",76.0,74.53,"6'3""",-1.47,plays_shorter,74.53,"6'3""",-1.47,plays_shorter
2019,Bryan Alberts,Long Beach St.,33821,6-5,"6'5""",77.0,75.19,"6'3""",-1.81,plays_shorter,75.19,"6'3""",-1.81,plays_shorter
2019,Josh Perkins,Gonzaga,33823,6-3,"6'3""",75.0,76.25,"6'4""",1.25,plays_taller,76.25,"6'4""",1.25,plays_taller
2019,Zach McRoberts,Indiana,33824,6-6,"6'6""",78.0,74.29,"6'2""",-3.71,plays_shorter,74.29,"6'2""",-3.71,plays_shorter
2019,Shawn Roundtree,Central Michigan,33924,6-0,"6'0""",72.0,74.5,"6'3""",2.5,plays_taller,74.5,"6'3""",2.5,plays_taller
2019,Jake Toolson,Utah Valley,33955,6-5,"6'5""",77.0,77.4,"6'5""",0.4,plays_at_height,77.4,"6'5""",0.4,plays_at_height
2019,Namon Wright,Colorado,33986,6-5,"6'5""",77.0,77.89,"6'6""",0.89,plays_taller,77.89,"6'6""",0.89,plays_taller
2019,Jakeenan Gant,Louisiana,33987,6-8,"6'8""",80.0,83.7,"7'0""",3.7,plays_taller,83.7,"7'0""",3.7,plays_taller
2019,Tyree Griffin,Southern Miss,33994,5-10,"5'10""",70.0,75.17,"6'3""",5.17,plays_taller,75.17,"6'3""",5.17,plays_taller
2019,Romone Saunders,Wagner,34001,6-3,"6'3""",75.0,77.22,"6'5""",2.22,plays_taller,77.22,"6'5""",2.22,plays_taller
2019,Cameron Jackson,Wofford,34006,6-8,"6'8""",80.0,83.06,"6'11""",3.06,plays_taller,83.06,"6'11""",3.06,plays_taller
2019,Stuckey Mosley,James Madison,34046,6-3,"6'3""",75.0,74.72,"6'3""",-0.28,plays_at_height,74.72,"6'3""",-0.28,plays_at_height
2019,Deshon Taylor,Fresno St.,34073,6-2,"6'2""",74.0,76.4,"6'4""",2.4,plays_taller,76.4,"6'4""",2.4,plays_taller
2019,Jabari McGhee,Austin Peay,34096,6-7,"6'7""",79.0,81.57,"6'10""",2.57,plays_taller,81.57,"6'10""",2.57,plays_taller
2019,Sandy Cohen III,Green Bay,34168,6-6,"6'6""",78.0,79.27,"6'7""",1.27,plays_taller,79.27,"6'7""",1.27,plays_taller
2019,Shaquille Doorson,Rutgers,34191,7-0,"7'0""",84.0,81.48,"6'9""",-2.52,plays_shorter,81.48,"6'9""",-2.52,plays_shorter
2019,Marques Townes,Loyola Chicago,34204,6-4,"6'4""",76.0,77.57,"6'6""",1.57,plays_taller,77.57,"6'6""",1.57,plays_taller
2019,Schadrac Casimir,Florida Gulf Coast,34233,5-10,"5'10""",70.0,74.92,"6'3""",4.92,plays_taller,74.92,"6'3""",4.92,plays_taller
2019,Nyaires Redding,Wyoming,34234,6-2,"6'2""",74.0,74.89,"6'3""",0.89,plays_taller,74.89,"6'3""",0.89,plays_taller
2019,Christen Cunningham,Louisville,34238,6-2,"6'2""",74.0,75.31,"6'3""",1.31,plays_taller,75.31,"6'3""",1.31,plays_taller
2019,Detrick Mostella,Jacksonville St.,34248,6-1,"6'1""",73.0,75.81,"6'4""",2.81,plays_taller,75.81,"6'4""",2.81,plays_taller
2019,Noah Robotham,UNLV,34346,6-1,"6'1""",73.0,74.38,"6'2""",1.38,plays_taller,74.38,"6'2""",1.38,plays_taller
