season,team,player,off_possessions,def_possessions,pbp_games,bart_games,unassisted_rim_makes,unassisted_mid_makes,unassisted_3pm,rim_assists,off_fouls_drawn,fta,rim_att,dunks_made,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,rim_assists_100,off_fouls_drawn_100,fta_100,rim_att_100,dunks_100
2012,Air Force,Adam Brakeville,0.0,0.0,0.0,17.0,3.0,1.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Chase Kammerer,0.0,0.0,0.0,14.0,6.0,0.0,1.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Colt Barnhill,0.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Justin Hammonds,0.0,0.0,0.0,22.0,21.0,13.0,6.0,0.0,0.0,26.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Kamryn Williams,0.0,0.0,0.0,27.0,14.0,7.0,13.0,0.0,0.0,30.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Kyle Green,0.0,0.0,0.0,15.0,4.0,4.0,12.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Marek Olesinski,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Max Yon,0.0,0.0,0.0,20.0,5.0,2.0,9.0,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Michael Lyons,0.0,0.0,0.0,22.0,46.0,27.0,36.0,0.0,0.0,64.0,60.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Mike Fitzgerald,0.0,0.0,0.0,27.0,32.0,14.0,36.0,0.0,0.0,66.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Shawn Hempsey,0.0,0.0,0.0,23.0,4.0,1.0,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Air Force,Taylor Broekhuis,0.0,0.0,0.0,27.0,32.0,35.0,16.0,0.0,0.0,84.0,48.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
