__season_type,__team_id,__team_name,awayScore,clock,conference,gameId,gameSourceId,gameStartDate,gameType,homeScore,homeWinProbability,id,isHomeTeam,onFloor,onFloor[0].id,onFloor[0].name,onFloor[0].team,onFloor[10].id,onFloor[10].name,onFloor[10].team,onFloor[11].id,onFloor[11].name,onFloor[11].team,onFloor[12].id,onFloor[12].name,onFloor[12].team,onFloor[13].id,onFloor[13].name,onFloor[13].team,onFloor[14].id,onFloor[14].name,onFloor[14].team,onFloor[15].id,onFloor[15].name,onFloor[15].team,onFloor[16].id,onFloor[16].name,onFloor[16].team,onFloor[17].id,onFloor[17].name,onFloor[17].team,onFloor[18].id,onFloor[18].name,onFloor[18].team,onFloor[19].id,onFloor[19].name,onFloor[19].team,onFloor[1].id,onFloor[1].name,onFloor[1].team,onFloor[2].id,onFloor[2].name,onFloor[2].team,onFloor[3].id,onFloor[3].name,onFloor[3].team,onFloor[4].id,onFloor[4].name,onFloor[4].team,onFloor[5].id,onFloor[5].name,onFloor[5].team,onFloor[6].id,onFloor[6].name,onFloor[6].team,onFloor[7].id,onFloor[7].name,onFloor[7].team,onFloor[8].id,onFloor[8].name,onFloor[8].team,onFloor[9].id,onFloor[9].name,onFloor[9].team,opponent,opponentConference,opponentId,opponentSeed,participants,participants[0].id,participants[0].name,participants[1].id,participants[1].name,period,playText,playType,scoreValue,scoringPlay,season,seasonType,secondsRemaining,shootingPlay,shotInfo,shotInfo.assisted,shotInfo.assistedBy.id,shotInfo.assistedBy.name,shotInfo.location.x,shotInfo.location.y,shotInfo.made,shotInfo.range,shotInfo.shooter.id,shotInfo.shooter.name,sourceId,team,teamId,teamSeed,tournament,wallclock
unknown,361,Youngstown State,61,12:29,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.009,46216523,True,,1669,Chris Morgan,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,1659,Maximus Nelson,Purdue Fort Wayne,1667,Corey Hadnot II,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Youngstown State,Horizon,361,,,894,DeAndre Craig Jr.,,,2,DeAndre Craig Jr. subbing in for Purdue Fort Wayne,Substitution,0,False,2026,regular,749,False,,,,,,,,,,,401817655118402989,Purdue Fort Wayne,237,,,2026-02-05T01:22:20.000Z
unknown,361,Youngstown State,61,12:29,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.009,46216520,False,,1669,Chris Morgan,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,1659,Maximus Nelson,Purdue Fort Wayne,1667,Corey Hadnot II,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Purdue Fort Wayne,Horizon,237,,,223,Drew King,,,2,Drew King Defensive Rebound.,Defensive Rebound,0,False,2026,regular,749,False,,,,,,,,,,,401817655118402926,Youngstown State,361,,,2026-02-05T01:22:08.000Z
unknown,361,Youngstown State,61,12:29,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.009,46216521,True,,1669,Chris Morgan,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,1659,Maximus Nelson,Purdue Fort Wayne,1667,Corey Hadnot II,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Youngstown State,Horizon,361,,,1667,Corey Hadnot II,,,2,Foul on Corey Hadnot II.,PersonalFoul,0,False,2026,regular,749,False,,,,,,,,,,,401817655118402928,Purdue Fort Wayne,237,,,2026-02-05T01:22:10.000Z
unknown,361,Youngstown State,61,12:29,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.009,46216522,True,,1669,Chris Morgan,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,1659,Maximus Nelson,Purdue Fort Wayne,1667,Corey Hadnot II,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Youngstown State,Horizon,361,,,1667,Corey Hadnot II,,,2,Corey Hadnot II subbing out for Purdue Fort Wayne,Substitution,0,False,2026,regular,749,False,,,,,,,,,,,401817655118402988,Purdue Fort Wayne,237,,,2026-02-05T01:22:20.000Z
unknown,361,Youngstown State,61,12:19,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.009,46216526,True,,894,DeAndre Craig Jr.,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,1659,Maximus Nelson,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Youngstown State,Horizon,361,,,2834,Ebrahim Kaba,,,2,Ebrahim Kaba subbing in for Purdue Fort Wayne,Substitution,0,False,2026,regular,739,False,,,,,,,,,,,401817655118403244,Purdue Fort Wayne,237,,,2026-02-05T01:22:58.000Z
unknown,361,Youngstown State,61,12:19,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.009,46216525,True,,894,DeAndre Craig Jr.,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,1659,Maximus Nelson,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Youngstown State,Horizon,361,,,1659,Maximus Nelson,,,2,Maximus Nelson subbing out for Purdue Fort Wayne,Substitution,0,False,2026,regular,739,False,,,,,,,,,,,401817655118403242,Purdue Fort Wayne,237,,,2026-02-05T01:22:58.000Z
unknown,361,Youngstown State,61,12:19,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.009,46216524,True,,894,DeAndre Craig Jr.,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,1659,Maximus Nelson,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Youngstown State,Horizon,361,,,894,DeAndre Craig Jr.,,,2,Foul on DeAndre Craig Jr..,PersonalFoul,0,False,2026,regular,739,False,,,,,,,,,,,401817655118403093,Purdue Fort Wayne,237,,,2026-02-05T01:22:44.000Z
unknown,361,Youngstown State,63,12:08,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.003,46216527,False,,894,DeAndre Craig Jr.,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,2834,Ebrahim Kaba,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Purdue Fort Wayne,Horizon,237,,,203553,Tae Blackshear,,,2,Tae Blackshear makes 14-foot turnaround jump shot,JumpShot,2,True,2026,regular,728,True,,False,,,141,140,True,jumper,203553,Tae Blackshear,401817655118403257,Youngstown State,361,,,2026-02-05T01:23:13.000Z
unknown,361,Youngstown State,63,11:53,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.003,46216528,True,,894,DeAndre Craig Jr.,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,2834,Ebrahim Kaba,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Youngstown State,Horizon,361,,,201580,Yuval Levin,,,2,Yuval Levin misses 25-foot three point jumper,JumpShot,3,False,2026,regular,713,True,,False,,,639.2,230,False,three_pointer,201580,Yuval Levin,401817655118403402,Purdue Fort Wayne,237,,,2026-02-05T01:23:28.000Z
unknown,361,Youngstown State,63,11:50,Horizon,211343,401817655,2026-02-05T00:00:00.000Z,STD,40,0.003,46216529,False,,894,DeAndre Craig Jr.,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,201580,Yuval Levin,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,2834,Ebrahim Kaba,Purdue Fort Wayne,223,Drew King,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,203560,Cam Polak,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,203553,Tae Blackshear,Youngstown State,Purdue Fort Wayne,Horizon,237,,,203553,Tae Blackshear,,,2,Tae Blackshear Defensive Rebound.,Defensive Rebound,0,False,2026,regular,710,False,,,,,,,,,,,401817655118403403,Youngstown State,361,,,2026-02-05T01:23:30.000Z
