conference,team_id,team_name
MEAC,59,Coppin State
SWAC,296,Texas Southern
SoCon,93,Furman
A-10,95,George Mason
Big Sky,207,Northern Colorado
MVC,122,Indiana State
Big 12,131,Kansas
WCC,153,Loyola Marymount
OVC,181,Morehead State
MAAC,183,Mount St. Mary's
Patriot,187,Navy
MAAC,194,Niagara
Horizon,214,Oakland
A-10,240,Rhode Island
OVC,144,Little Rock
Am. East,31,Bryant
Patriot,15,Army
Big South,47,Charleston Southern
Patriot,55,Colgate
Sun Belt,265,South Alabama
Big 12,287,TCU
Big 12,331,Utah
Big Sky,345,Weber State
Big 12,347,West Virginia
CAA,353,William & Mary
American,74,East Carolina
MAC,3,Akron
SWAC,6,Alabama State
SWAC,85,Florida A&M
ACC,101,Georgia Tech
Big 12,56,Colorado
Patriot,32,Bucknell
Ivy,107,Harvard
SWAC,274,Southern
Southland,294,Texas A&M-Corpus Christi
Big West,307,UC Davis
CUSA,89,Florida International
MAC,28,Bowling Green
CAA,285,Stony Brook
MVC,82,Evansville
Big South,319,UNC Asheville
WAC,324,UT Arlington
ACC,26,Boston College
Big East,235,Providence
Horizon,357,Wright State
A-10,63,Davidson
Big 12,51,Cincinnati
ACC,200,North Carolina
American,48,Charlotte
SoCon,348,Western Carolina
SEC,135,Kentucky
ACC,213,Notre Dame
MAC,19,Ball State
SoCon,320,UNC Greensboro
Summit,130,Kansas City
Southland,120,Incarnate Word
Mountain West,104,Grand Canyon
Big East,61,Creighton
CUSA,66,Delaware
MVC,273,Southern Illinois
SoCon,256,Samford
Mountain West,260,San José State
OVC,349,Western Illinois
Sun Belt,54,Coastal Carolina
Big 12,312,UCF
Am. East,318,UMass Lowell
A-10,242,Richmond
Sun Belt,302,Troy
WAC,1,Abilene Christian
WAC,39,California Baptist
Big Ten,188,Nebraska
CUSA,255,Sam Houston
CAA,301,Towson
Am. East,154,Maine
SoCon,75,East Tennessee State
Horizon,115,IU Indianapolis
Summit,221,Omaha
SEC,220,Ole Miss
Am. East,186,NJIT
SoCon,356,Wofford
Big East,65,DePaul
Summit,269,South Dakota
Summit,202,North Dakota State
Horizon,244,Robert Morris
CAA,81,Elon
Big East,157,Marquette
ASUN,197,North Alabama
Southland,162,McNeese
Am. East,317,UMBC
Big Sky,231,Portland State
MAAC,166,Merrimack
OVC,366,Lindenwood
Big West,310,UC San Diego
ASUN,21,Bellarmine
WAC,288,Tarleton State
WAC,330,Utah Tech
Sun Belt,129,James Madison
Big South,109,High Point
CUSA,142,Liberty
OVC,325,UT Martin
Summit,280,St. Thomas-Minnesota
Big Sky,117,Idaho
SEC,295,Texas
Southland,76,East Texas A&M
OVC,365,Southern Indiana
NEC,284,Stonehill
ASUN,362,Queens University
Sun Belt,100,Georgia State
MAAC,83,Fairfield
SWAC,4,Alabama A&M
ASUN,17,Austin Peay
Big 12,20,Baylor
NEC,140,Le Moyne
Big South,147,Longwood
ASUN,346,West Georgia
NEC,165,Mercyhurst
Summit,270,South Dakota State
A-10,137,La Salle
NEC,1507,New Haven
