Rank,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,Summary,,,,,
RSCI,Player,School(s),Yrs,,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,TRB,AST,PTS,,eFG%,WS
41,Jordan McLaughlin,USC,2014-18,,128,127,4294,572,1304,0.439,185,488,0.379,319,432,0.738,83,454,739,213,22,303,134,1648,,3.5,5.8,12.9,,0.51,14.8
42,Angel Delgado,Seton Hall,2014-18,,132,130,4039,644,1196,0.538,0,5,0,305,566,0.539,518,1455,227,82,101,286,332,1593,,11,1.7,12.1,,0.538,15.2
43,JaQuan Newton,Miami (FL),2014-18,,127,58,2953,409,916,0.447,31,103,0.301,296,432,0.685,57,295,308,99,15,264,180,1145,,2.3,2.4,9,,0.463,6.4
44,Parker Jackson-Cartwright,Arizona,2014-18,,134,51,2943,238,556,0.428,116,286,0.406,141,204,0.691,33,262,459,119,16,177,239,733,,2,3.4,5.5,,0.532,9.5
45,Abdul-Malik Abu,NC State,2014-18,,128,100,2934,462,934,0.495,2,19,0.105,248,395,0.628,291,776,110,41,82,184,340,1174,,6.1,0.9,9.2,,0.496,7.8
46,Leron Black,Illinois,2014-18,,102,70,2003,371,744,0.499,33,83,0.398,146,195,0.749,162,529,47,37,19,126,305,921,,5.2,0.5,9,,0.521,6.5
T46,Robert Johnson,Indiana,2014-18,,129,118,3723,513,1172,0.438,239,614,0.389,148,213,0.695,44,487,342,102,15,276,255,1413,,3.8,2.7,11,,0.54,9.3
48,Malik Pope,San Diego State,2014-18,,125,69,2732,421,910,0.463,92,241,0.382,177,260,0.681,170,636,122,58,113,159,209,1111,,5.1,1,8.9,,0.513,11
49,Chris Chiozza,Florida,2014-18,,139,65,3494,344,879,0.391,130,398,0.327,207,277,0.747,56,442,571,191,7,223,288,1025,,3.2,4.1,7.4,,0.465,11.8
50,Jakeenan Gant,"Missouri, Louisiana",2014-19,,116,72,2610,529,995,0.532,79,243,0.325,202,271,0.745,228,616,81,64,199,140,248,1339,,5.3,0.7,11.5,,0.571,11.1
51,Paul White,"Georgetown, Oregon",2014-19,,111,60,2471,311,696,0.447,110,302,0.364,155,200,0.775,101,365,157,65,50,112,276,887,,3.3,1.4,8,,0.526,8.6
52,Kaleb Joseph,"Syracuse, Creighton",2014-19,,99,33,1634,149,372,0.401,37,113,0.327,81,109,0.743,34,156,194,52,9,116,123,416,,1.6,2,4.2,,0.45,2.8
53,Dion Wiley,"Maryland, Saint Louis",2014-19,,110,20,1689,164,447,0.367,106,315,0.337,54,82,0.659,31,155,63,31,19,77,118,488,,1.4,0.6,4.4,,0.485,3.2
54,Jae'Sean Tate,Ohio State,2014-18,,129,110,3611,614,1113,0.552,36,130,0.277,248,447,0.555,227,771,216,136,64,234,382,1512,,6,1.7,11.7,,0.568,13.8
55,T.J. Haws,BYU,2016-20,,133,133,4328,623,1417,0.44,242,671,0.361,411,499,0.824,40,384,601,158,30,309,273,1899,,2.9,4.5,14.3,,0.525,15.7
56,Elbert Robinson,"LSU, Old Dominion",2014-19,,89,39,717,73,136,0.537,0,0,,36,86,0.419,66,164,24,19,31,77,154,182,,1.8,0.3,2,,0.537,0.7
57,Brekkott Chapman,"Utah, Weber State",2014-19,,131,61,2718,375,803,0.467,138,333,0.414,176,242,0.727,121,621,152,86,135,186,337,1064,,4.7,1.2,8.1,,0.553,10
58,Alex Robinson,"Texas A&M, TCU",2014-19,,139,89,4165,510,1194,0.427,113,345,0.328,234,376,0.622,60,432,756,162,42,390,272,1367,,3.1,5.4,9.8,,0.474,9.5
59,Michael Humphrey,Stanford,2014-18,,125,92,2685,415,870,0.477,40,121,0.331,167,248,0.673,224,716,89,93,112,163,391,1037,,5.7,0.7,8.3,,0.5,8.2
60,Josh Perkins,Gonzaga,2014-19,,153,145,4689,531,1211,0.438,251,651,0.386,249,332,0.75,66,429,712,178,25,310,363,1562,,2.8,4.7,10.2,,0.542,19.3
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,Summary,,,,,
RSCI,Player,School(s),Yrs,,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,TRB,AST,PTS,,eFG%,WS
61,Ahmed Hill,Virginia Tech,2014-19,,134,115,4024,514,1155,0.445,230,589,0.39,215,290,0.741,86,462,167,63,14,162,263,1473,,3.4,1.2,11,,0.545,10.3
62,L.J. Peak,Georgetown,2014-17,,98,76,2709,395,857,0.461,88,263,0.335,308,405,0.76,80,305,199,87,45,187,271,1186,,3.1,2,12.1,,0.512,8.3
T62,Caleb Martin,"NC State, Nevada",2014-19,,139,79,3959,605,1461,0.414,311,866,0.359,364,502,0.725,121,626,261,135,78,198,293,1885,,4.5,1.9,13.6,,0.521,15.2
64,Chinanu Onuaku,Louisville,2014-16,,66,55,1385,182,294,0.619,0,1,0,47,86,0.547,160,423,70,50,104,109,175,411,,6.4,1.1,6.2,,0.619,6.2
65,Devonte Graham,Kansas,2014-18,,142,111,4498,546,1295,0.422,296,723,0.409,362,460,0.787,62,439,632,197,14,270,237,1750,,3.1,4.5,12.3,,0.536,18.4
66,Paschal Chukwu,"Providence, Syracuse",2014-19,,111,68,2114,160,237,0.675,0,0,,125,208,0.601,228,541,30,62,185,100,293,445,,4.9,0.3,4,,0.675,7.8
67,Jaylen Johnson,Louisville,2014-17,,88,48,1343,189,358,0.528,7,18,0.389,71,119,0.597,154,334,34,30,30,67,163,456,,3.8,0.4,5.2,,0.538,5.3
68,Jared Terrell,Rhode Island,2014-18,,134,131,4232,586,1442,0.406,192,526,0.365,390,511,0.763,95,408,281,170,26,233,353,1754,,3,2.1,13.1,,0.473,13.8
69,Robert Cartwright,"Stanford, UC-Irvine",2014-19,,131,30,2463,224,611,0.367,86,276,0.312,132,171,0.772,32,219,283,94,8,146,187,666,,1.7,2.2,5.1,,0.437,5.2
70,Cody Martin,"NC State, Nevada",2014-19,,122,87,3526,450,899,0.501,52,160,0.325,226,328,0.689,171,559,434,155,96,201,278,1178,,4.6,3.6,9.7,,0.529,13.2
71,Elijah Stewart,USC,2014-18,,138,102,3741,485,1131,0.429,245,628,0.39,187,249,0.751,120,451,148,105,125,132,333,1402,,3.3,1.1,10.2,,0.537,11
72,Justin Coleman,"Alabama, Samford, Arizona",2014-19,,131,74,3506,349,971,0.359,163,521,0.313,262,322,0.814,34,273,488,108,0,257,186,1123,,2.1,3.7,8.6,,0.443,6.1
73,Ronnie Harrell,"Creighton, Denver",2015-19,,114,38,2052,258,611,0.422,81,232,0.349,147,198,0.742,90,472,183,55,24,151,144,744,,4.1,1.6,6.5,,0.489,5
74,Dominic Magee,"Grand Canyon, Southern Miss",2015-19,,78,31,1572,245,571,0.429,78,232,0.336,135,214,0.631,44,343,107,66,10,96,128,703,,4.4,1.4,9,,0.497,4.6
75,Sandy Cohen,"Marquette, Green Bay",2014-19,,126,79,3251,436,956,0.456,137,400,0.343,317,429,0.739,46,524,317,145,77,236,297,1326,,4.2,2.5,10.5,,0.528,9.8
76,Jalen Lindsey,Providence,2014-18,,131,91,3559,321,785,0.409,217,585,0.371,134,185,0.724,138,451,80,90,36,76,223,993,,3.4,0.6,7.6,,0.547,9.9
T76,Trey Kell,San Diego State,2014-18,,134,112,3640,461,1212,0.38,150,485,0.309,331,468,0.707,82,518,320,126,30,206,176,1403,,3.9,2.4,10.5,,0.442,12.5
78,Lourawls Nairn,Michigan State,2014-18,,137,66,2666,136,344,0.395,23,79,0.291,51,102,0.5,12,212,415,42,8,130,217,346,,1.5,3,2.5,,0.429,4.9
79,Zylan Cheatham,"San Diego State, Arizona State",2015-19,,103,82,2618,331,627,0.528,16,54,0.296,316,460,0.687,204,750,187,83,71,235,263,994,,7.3,1.8,9.7,,0.541,10.6
80,Donte Grantham,Clemson,2014-18,,114,113,3448,402,972,0.414,161,484,0.333,135,186,0.726,155,542,220,98,84,169,189,1100,,4.8,1.9,9.6,,0.496,9.4
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,Summary,,,,,
RSCI,Player,School(s),Yrs,,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,TRB,AST,PTS,,eFG%,WS
T80,Shelton Mitchell,"Vanderbilt, Clemson",2014-19,,125,102,3553,393,977,0.402,134,379,0.354,298,365,0.816,42,313,420,80,6,258,162,1218,,2.5,3.4,9.7,,0.471,8.8
82,Isaac Haas,Purdue,2014-18,,139,76,2496,561,953,0.589,0,0,,433,628,0.689,216,643,71,22,124,229,289,1555,,4.6,0.5,11.2,,0.589,12.6
83,B.J. Stith,"Virginia, Old Dominion",2014-19,,110,90,2996,485,1183,0.41,151,420,0.36,268,324,0.827,92,586,126,75,20,154,171,1389,,5.3,1.1,12.6,,0.474,11.5
84,Phil Booth,Villanova,2014-19,,148,73,3636,492,1136,0.433,224,603,0.371,299,381,0.785,53,388,374,98,19,219,256,1507,,2.6,2.5,10.2,,0.532,13.8
T84,Jordan Barnett,"Texas, Missouri",2014-18,,80,45,1924,262,599,0.437,127,343,0.37,122,144,0.847,99,357,59,44,35,90,112,773,,4.5,0.7,9.7,,0.543,6.7
