Rimfluence Rank,year,Player name,team,height_inches,class,possessions,Opp Net Rating,O Rimfluence,D Rimfluence,Rimfluence
603,2024,Mason Gillis,Purdue,78,Sr,2339.0,14.93849999999999,2.3148643964954436,5.693728513419558,8.008592909915002
604,2024,J.J. Starling,Syracuse,76,So,7160.0,10.29079999999999,-2.130888570110318,10.13752884498994,8.006640274879622
605,2024,Makhel Mitchell,Little Rock,82,Sr,1287.0,-11.861099999999992,4.036454299898793,3.960416439104296,7.996870739003089
606,2024,Zavian McLean,Columbia,76,Sr,3246.0,-1.6909000000000134,12.980946951630678,-5.000822838795091,7.980124112835587
607,2024,Grant Huffman,Davidson,75,Sr,10972.0,3.818200000000005,8.979919757762055,-1.0005709536435683,7.979348804118486
608,2024,Kerwin Walton,Texas Tech,77,Sr,2300.0,11.860100000000005,4.601767770325819,3.360695691863961,7.962463462189779
609,2024,Danny Wolf,Yale,84,So,2759.0,2.724500000000006,4.211163131736356,3.74290935514986,7.954072486886216
610,2024,Avantae Parker,Georgia Southern,81,Fr,4555.0,-1.8963000000000108,1.5670983167311876,6.386668980518208,7.953767297249396
611,2024,Carey Booth,Notre Dame,82,Fr,4026.0,9.478700000000003,5.062450415550513,2.890645746273805,7.953096161824318
612,2024,Cameron Corhen,Florida State,82,So,3796.0,11.21950000000001,5.203017571040753,2.7376087010127823,7.940626272053535
613,2024,Kebba Njie,Notre Dame,82,So,4022.0,9.381799999999998,-9.73243492371328,17.665252434199946,7.932817510486664
614,2024,Hunter Erickson,Utah,75,Sr,2189.0,10.096699999999998,3.929024838751352,3.9978629552479488,7.926887793999301
615,2024,Jahvon Quinerly,Memphis,73,Sr,14178.0,4.325199999999995,5.615376275326153,2.3073369660935374,7.922713241419691
616,2024,Sam Walters,Alabama,82,Fr,1179.0,12.526199999999989,2.534407856058621,5.383102336433126,7.917510192491747
617,2024,Chance McMillian,Texas Tech,74,Jr,2614.0,10.7068,6.9691914896395115,0.859857535084303,7.8290490247238145
618,2024,Ja'Von Benson,Hampton,79,Jr,2623.0,-4.420400000000001,-3.3070987884402454,11.13078763486094,7.823688846420693
619,2024,Jalen Celestine,California,79,Sr,4494.0,9.451900000000007,1.1773503260163445,6.610588920904338,7.787939246920682
620,2024,Supreme Cook,Georgetown,81,Sr,5162.0,7.584599999999995,3.2390741673696444,4.517003710927976,7.756077878297621
621,2024,Tyler Rolison,Nevada,72,Fr,1164.0,2.5400000000000063,3.1642874981076083,4.5745642963454864,7.738851794453095
622,2024,Rodney Brown Jr.,California,78,Fr,2392.0,10.520200000000004,-1.4589764959324505,9.171305130795972,7.712328634863523
623,2024,Prince Aligbe,Boston College,79,So,1963.0,7.059899999999999,5.085411086137942,2.6231394450349153,7.7085505311728575
624,2024,Nikolaos Chitikoudis,North Carolina A&T,78,Fr,9911.0,-2.9102000000000032,2.110474442317929,5.57794854490297,7.688422987220899
625,2024,Alijah Martin,Florida Atlantic,74,Jr,3043.0,5.700199999999995,-3.5805025655859737,11.25454049268966,7.6740379271036865
626,2024,Chas Kelley III,Boston College,75,So,1339.0,7.739199999999997,6.207888746653671,1.4504700983370076,7.658358844990678
627,2024,Jeremy Roach,Duke,74,Sr,3267.0,9.8626,2.0821392023690897,5.575489663489274,7.6576288658583636
628,2024,Ian Schieffelin,Clemson,80,Jr,2337.0,12.183599999999998,4.91608255728912,2.7398044359968337,7.655886993285954
629,2024,Nikita Konstantynovskyi,Monmouth,82,Jr,4890.0,-3.0756999999999977,2.752408605540727,4.898151117139476,7.650559722680203
630,2024,Da'Sean Nelson,DePaul,80,Sr,14136.0,10.965699999999998,3.413748137099841,4.234683277713308,7.648431414813149
631,2024,Davion Everett,South Carolina State,78,Jr,3462.0,-5.440600000000003,0.0266789104496045,7.610977666426452,7.637656576876056
632,2024,Alec Pfriem,Bellarmine,77,Sr,2536.0,2.090999999999994,7.948560395935903,-0.3318628066490441,7.61669758928686
633,2024,Julian Reese,Maryland,81,Jr,6012.0,8.816400000000002,3.396938041134473,4.169980800913788,7.566918842048262
634,2024,Jalen Gaffney,Florida Atlantic,75,Sr,2452.0,6.020799999999994,4.699844398311698,2.859194533566414,7.559038931878112
635,2024,Milan Momcilovic,Iowa State,80,Fr,3210.0,8.961199999999991,6.458634821076711,1.0987926654613127,7.557427486538023
636,2024,Chase Paar,Towson,82,Sr,1027.0,-1.6661,7.289380876507737,0.2656550876978178,7.555035964205555
637,2024,Nick Jourdain,Memphis,80,Jr,17859.0,4.860900000000001,3.998212933982588,3.540477975252444,7.538690909235033
638,2024,Josiah Allick,Nebraska,80,Sr,2232.0,7.227100000000007,-1.1676718657248424,8.683500095050263,7.515828229325421
639,2024,Antonio Reeves,Kentucky,78,Sr,8499.0,8.196700000000007,0.3666160311082431,7.128906140697571,7.495522171805813
640,2024,Parker Friedrichsen,Wake Forest,75,Fr,8689.0,7.880400000000009,4.115557874491939,3.3787197118076024,7.494277586299542
641,2024,Brandyn Talbot,UT Arlington,76,Jr,3603.0,-0.1839999999999975,7.539299182935845,-0.0478664813825464,7.491432701553299
642,2024,Reginald Duhart Jr.,Charleston Southern,81,Sr,5824.0,0.382000000000005,3.646440784779813,3.843302688528961,7.489743473308773
643,2024,Daniel Batcho,Louisiana Tech,83,Jr,5305.0,-0.491500000000002,2.956117513544079,4.491620887149627,7.447738400693706
644,2024,Russel Tchewa,Georgia,84,Sr,2721.0,9.950300000000013,-0.3539720414375757,7.792751730333689,7.438779688896113
645,2024,Casey Jones,Eastern Washington,78,Jr,5656.0,-2.2226,8.025472299286694,-0.6017171211368175,7.423755178149876
646,2024,Caden Pierce,Princeton,78,So,2026.0,-0.3714999999999975,9.918628315527554,-2.4957167978093326,7.422911517718221
647,2024,Adam Cisse,Maine,82,Sr,2900.0,-3.971100000000007,3.9145133349478343,3.507823045874333,7.422336380822167
648,2024,Noah Fernandes,Rutgers,71,Sr,3960.0,7.818899999999999,3.899396243343408,3.5222108517926793,7.421607095136087
649,2024,Elijah Hawkins,Minnesota,71,Jr,4259.0,7.3553,0.8686001587749375,6.5306593151975845,7.399259473972522
650,2024,Rodney Howard,Western Kentucky,83,Sr,2324.0,-1.9696,8.065124911744443,-0.6674904450931916,7.397634466651251
651,2024,Dexter Akanno,Oregon State,77,Sr,4956.0,8.972999999999999,2.834663394245101,4.5260127809448845,7.360676175189985
652,2024,Tyler Kolek,Marquette,75,Sr,3198.0,11.625199999999992,7.262260242038273,0.0914892587785018,7.353749500816775
653,2024,Bent Leuchten,UC Irvine,84,Jr,1286.0,-1.158299999999997,-0.323009692564041,7.667660908967896,7.344651216403856
654,2024,Lazar Stefanovic,UCLA,79,Jr,6327.0,7.73490000000001,0.7968453710295011,6.5440327635770785,7.34087813460658
655,2024,Donavan Yap,Fresno State,77,Sr,3361.0,0.4028999999999882,4.38641006646125,2.9278575283211734,7.314267594782423
656,2024,Javian Davis,UAB,81,Sr,2655.0,4.284299999999988,-0.4905311205240246,7.801242475103719,7.310711354579695
657,2024,Tyrone Marshall Jr.,Western Kentucky,79,Sr,2823.0,-1.8375000000000057,6.854013947039366,0.4360831354004251,7.290097082439791
