player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Graham Woodward,Penn St.,2014,0.000000,0.311478,0.622955,0.622955,3.737732
Geno Thorpe,Penn St.,2014,0.318250,2.227750,0.318250,0.159125,5.569375
Piers Carroll,Nicholls St.,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Aaron Hawley,Drake,2014,0.076293,0.610348,1.144402,0.305174,4.425022
Martez Harrison,UMKC,2014,0.000000,4.800701,1.837305,0.474143,14.698442
Jelan Kendrick,UNLV,2014,0.000000,1.246796,1.513966,0.178114,6.055866
Isaac Kreuer,UMKC,2014,0.000000,1.825360,1.460288,0.000000,6.571296
Brandon McDonnell,Dartmouth,2014,0.173070,0.346141,0.865352,0.000000,2.422986
George King,Colorado,2014,0.000000,1.199683,0.399894,0.000000,3.199156
Marquez White,Florida St.,2014,0.000000,0.000000,0.000000,5.897450,17.692350
Josh Williams,Lipscomb,2014,0.220740,3.311096,0.662219,0.367900,9.050329
Ron Trapps,Coastal Carolina,2014,0.000000,1.251646,0.000000,0.000000,2.503292
Will Saunders,Charleston Southern,2014,0.000000,0.578750,0.385834,0.289375,2.797293
Bakari Copeland,Charleston Southern,2014,0.000000,0.000000,1.174651,0.000000,2.349303
Juwan Newmen,Central Connecticut,2014,0.171864,2.921688,1.031184,0.000000,7.905744
I.J. Ready,Mississippi St.,2014,0.000000,1.201371,1.386197,0.554479,6.838571
Matt Mobley,Central Connecticut,2014,0.077242,2.008303,0.695182,0.231727,6.102152
Aram Martin,Brown,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Tavon Blackmon,Brown,2014,0.000000,3.338342,1.182330,0.069549,9.249990
Matty Madigan,Brown,2014,0.000000,0.425442,0.000000,0.000000,0.850883
Leland King,Brown,2014,0.222496,2.892444,2.558701,0.111248,11.236033
Michael Perez,Nevada,2014,0.054598,1.201147,0.873561,0.709768,6.278721
Jarad Scott,Winthrop,2014,0.000000,1.319365,0.527746,0.263873,4.485842
Ivan Saicic,Winthrop,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Josh Davenport,Winthrop,2014,0.000000,2.238243,1.205207,0.000000,6.886900
Jacobby Bledsoe,UMKC,2014,0.000000,0.428634,0.714390,0.142878,2.714683
Marcus White,Illinois Chicago,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Frank Williams,UMKC,2014,0.065583,0.393500,1.114917,0.131167,3.410336
Windale Glinton,Grambling St.,2014,0.000000,0.833953,1.667905,0.000000,5.003715
Felix Van Hofe,Eastern Washington,2014,0.000000,0.268756,1.075024,0.268756,3.493828
Greg Pryor,Chattanooga,2014,0.000000,1.652092,1.927441,0.275349,7.985111
