player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
DeAndrae Ross,Troy,2011,0.000000,0.426161,0.426161,0.426161,2.983124
Pooh Williams,Utah St.,2011,0.072654,1.162463,0.653885,0.290616,4.504542
Grant Leiendecker,Butler,2011,0.000000,0.000000,0.000000,4.333975,13.001925
Jabari Deshields,Alabama A&M,2011,0.000000,0.598740,0.997900,0.000000,3.193280
Charles Jenkins,Hofstra,2011,0.000000,3.880692,3.518494,1.138336,18.213383
Greg Washington,Hofstra,2011,0.066588,1.265172,0.599292,0.000000,3.728928
Moussa Camara,Binghamton,2011,0.139430,0.976007,1.324581,1.324581,8.574922
Levi Knutson,Colorado,2011,0.000000,1.048811,1.398415,0.466138,6.292869
Kevin White,Maryland Eastern Shore,2011,0.000000,2.782418,1.941222,0.129415,9.835523
Carlton Fay,Southern Illinois,2011,0.000000,0.337747,1.823836,0.067549,4.525814
Kareem Nitoto,UC Riverside,2011,0.210247,2.242639,0.840990,0.280330,7.008247
Zach Hahn,Butler,2011,0.000000,0.512100,0.307260,0.921780,4.404060
Matt Howard,Butler,2011,0.054897,2.140983,1.756704,0.000000,7.795373
Shawn Vanzant,Butler,2011,0.000000,1.393719,2.090578,0.232286,7.665452
James Hett,Monmouth,2011,0.000000,0.834567,0.417283,0.178836,3.040208
Thomas Coleman,North Carolina A&T,2011,1.250302,4.938693,1.000242,0.000000,11.877869
Kyle Riley,Howard,2011,0.284379,2.701598,1.137515,0.213284,8.318080
Noah States,Furman,2011,0.000000,1.807075,1.405503,0.100393,6.726335
Jihad Ali,Georgia St.,2011,0.000000,1.057529,1.382922,0.244045,5.613038
Jay Threatt,Delaware St.,2011,0.000000,1.032306,2.967880,0.645191,9.935946
Isaiah Tate,George Mason,2011,0.176530,1.853565,0.617855,0.000000,4.942840
Vlad Moldoveanu,American,2011,0.063912,2.556466,2.428643,0.255647,10.737158
Kyle Singler,Duke,2011,0.132376,2.162149,2.515153,0.397129,10.545993
Nolan Smith,Duke,2011,0.405530,4.010236,3.334354,0.675883,16.716828
E'Twaun Moore,Purdue,2011,0.052521,1.575621,3.413845,0.525207,11.554551
JaJuan Johnson,Purdue,2011,0.150945,0.704409,3.320784,0.050315,8.201329
Tim Abromaitis,Notre Dame,2011,0.000000,0.743898,0.584492,0.106271,2.975594
Tyrone Nash,Notre Dame,2011,0.000000,2.208605,0.631030,0.063103,5.868579
