player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Pooh Williams,Utah St.,2010,0.073009,2.336272,0.876102,0.073009,6.643773
Nick Rodgers,Butler,2010,0.000000,0.000000,0.000000,0.000000,0.000000
Dana Smith,Longwood,2010,0.061332,2.759959,1.533310,0.183997,9.138530
Carlos Strong,Boston University,2010,0.263323,1.527272,0.895298,0.895298,7.531032
Sherrod Smith,Boston University,2010,0.000000,0.422426,0.000000,0.000000,0.844851
Eulis Stephens,Detroit Mercy,2010,0.138530,1.662365,0.415591,0.000000,4.155914
Brett Gifford,Albany,2010,0.000000,0.479584,0.119896,0.000000,1.198960
Valdas Sirutis,Boston University,2010,0.000000,0.217509,0.108754,0.000000,0.652527
Corey Lowe,Boston University,2010,0.000000,1.908442,2.120491,1.855430,13.624154
Grant Leiendecker,Butler,2010,0.000000,0.000000,0.000000,0.000000,0.000000
Patrick Bouli,Manhattan,2010,0.000000,0.266998,0.333748,0.400497,2.402982
Antoine Pearson,Manhattan,2010,0.000000,3.609562,1.122975,0.240637,10.186987
Chris Harris,Navy,2010,0.000000,2.434313,1.375916,0.529198,9.208053
T.J. Topercer,Navy,2010,0.000000,0.832425,0.000000,0.000000,1.664850
Brandon Adams,Manhattan,2010,0.000000,2.134285,1.113540,0.000000,6.495650
Darryl Crawford,Manhattan,2010,0.171056,3.763224,2.223724,0.228074,12.658119
Jabari Deshields,Alabama A&M,2010,0.000000,0.548032,0.822049,0.000000,2.740162
Charles Jenkins,Hofstra,2010,0.047258,2.835506,2.693731,0.236292,11.767349
Pierre Curtis,James Madison,2010,0.000000,1.787117,0.893558,0.105125,5.676724
Greg Washington,Hofstra,2010,0.144379,1.082841,0.433136,0.000000,3.031955
Matt Parker,James Madison,2010,0.205646,0.616938,0.411292,0.000000,2.056462
Moussa Camara,Binghamton,2010,0.070628,1.695079,0.494398,0.423770,5.650264
Landon Milbourne,Maryland,2010,0.119156,1.549024,1.131979,0.000000,5.362005
