player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
DeJuan Clayton,Manhattan,2024,0.000000,3.437634,3.437634,0.000000,13.750536
Seth Towns,Howard,2024,0.235797,1.061085,1.178983,0.825288,6.956002
Terrence Lewis,Grambling St.,2024,0.168049,1.512442,1.008295,0.504147,6.553916
Austin Williams,Rutgers,2024,0.000000,3.661336,0.422462,0.000000,8.167596
Avery Wilson,Southeastern Louisiana,2024,0.000000,1.668967,0.556323,0.000000,4.450580
Jalen Jordan,Middle Tennessee,2024,0.000000,0.507965,1.269913,0.761948,5.841598
Cam Martin,Boise St.,2024,0.459125,3.213874,1.377374,0.000000,9.182496
Chuck O'Bannon Jr.,TCU,2024,0.000000,1.248035,0.374410,0.374410,4.368122
Cam Bacote,Georgetown,2024,0.000000,0.878907,0.000000,0.439453,3.076173
Michael Hueitt Jr.,Pittsburgh,2024,0.000000,4.520844,1.506948,0.000000,12.055584
Robby Carmody,Mercer,2024,0.000000,2.489341,0.524072,0.000000,6.026825
Will McNair Jr.,Kansas St.,2024,0.077342,1.778872,1.856214,0.000000,7.270172
Robert Allen,North Texas,2024,0.168851,3.208169,0.759830,0.000000,7.935997
Jermaine Couisnard,Oregon,2024,0.050439,2.723699,2.168871,0.504389,11.298305
Markeese Hastings,Robert Morris,2024,0.130344,2.802398,0.847236,0.000000,7.299268
Josiah Strong,Colorado St.,2024,0.000000,0.714439,0.793821,0.079382,3.254668
Donovann Toatley,Detroit Mercy,2024,0.000000,3.029227,3.029227,2.812853,20.555467
Jose Perez,Arizona St.,2024,0.000000,2.256885,2.256885,0.182991,9.576514
K.J. Hymes,Nevada,2024,0.237376,1.186880,0.949504,0.000000,4.272768
Kaosi Ezeagu,New Mexico St.,2024,0.396310,1.664502,1.743764,0.000000,6.816532
Jack Clark,Clemson,2024,0.100404,1.104442,0.200808,0.000000,2.610500
Jahvon Quinerly,Memphis,2024,0.000000,2.418896,1.419787,1.156863,11.147957
Dre Fuller Jr.,UTSA,2024,0.000000,2.020417,1.454700,0.565717,8.647383
Bryce Workman,Jacksonville,2024,0.116441,3.493243,1.630180,0.000000,10.246846
Connor Vanover,Missouri,2024,0.570986,1.332300,0.761314,0.000000,4.187229
Jahmar Young Jr.,Texas Southern,2024,0.183793,1.470344,0.551379,0.000000,4.043446
Moses Wood,Washington,2024,0.000000,0.586006,0.639279,0.372913,3.569309
Quentin Millora-Brown,The Citadel,2024,0.062861,2.765866,0.502885,0.000000,6.537501
Mason Forbes,Saint Mary's,2024,0.485385,2.062888,0.000000,0.000000,4.125775
Xavier Johnson,Indiana,2024,0.000000,2.348591,1.342052,0.335513,8.387825
Allen Betrand,Norfolk St.,2024,0.315706,1.499605,3.393844,0.868193,12.391476
Robert Braswell IV,Charlotte,2024,0.299076,1.345844,0.149538,0.000000,2.990764
Jordan Lathon,Morehead St.,2024,0.143619,3.231429,2.513333,1.148952,14.936381
Ithiel Horton,Texas,2024,0.086410,0.777690,1.987430,0.345640,6.567160
Kjell de Graaf,NJIT,2024,0.572118,2.097768,0.000000,0.000000,4.195535
Aaron Clarke,Stony Brook,2024,0.000000,1.309682,3.214674,1.250151,12.799164
Cameron Wilbon,Cal St. Bakersfield,2024,0.000000,1.194631,2.787473,0.099553,8.262865
Myles Thompson,Morgan St.,2024,0.000000,2.213711,0.368952,1.106855,8.485892
Jeremiah Gambrell,Alcorn St.,2024,0.000000,1.191821,1.638754,1.340799,9.683547
Jaelin Llewellyn,Michigan,2024,0.000000,1.160053,0.497166,0.828610,5.800267
Spencer Johnson,BYU,2024,0.000000,2.431178,0.668574,0.243118,6.928857
Chris Doherty,Northeastern,2024,0.135852,3.939718,1.154745,0.000000,10.188926
John Newman III,Cincinnati,2024,0.379334,2.438578,0.704478,0.216762,6.936399
Wynston Tabbs,Morgan St.,2024,0.000000,3.988561,1.848357,0.875538,14.300449
Raheem Solomon,Sacred Heart,2024,0.089270,1.428318,0.624889,0.267810,4.909844
Tyrel Bladen,Norfolk St.,2024,0.189863,1.518907,0.759453,0.000000,4.556720
Luis Rodriguez,UNLV,2024,0.320381,2.242668,0.512610,0.384457,6.663928
Amari Kelly,George Mason,2024,0.139291,2.994750,1.462552,0.278581,9.750348
Carlos Curry,Georgia Southern,2024,0.416070,1.664280,1.248210,0.416070,7.073190
Antwann Jones,UCF,2024,0.000000,1.613947,1.972602,0.358655,8.249061
Jayden Hardaway,Memphis,2024,0.000000,0.734745,1.028643,0.146949,3.967622
Keenan Fitzmorris,Stony Brook,2024,0.559652,1.958783,3.427870,0.069957,10.983177
Cormac Ryan,North Carolina,2024,0.000000,0.926075,0.617383,0.102897,3.395607
DaQuan Smith,Radford,2024,0.000000,2.237179,2.539500,1.330214,13.544000
Jarron Coleman,Nebraska,2024,0.000000,1.200530,0.400177,0.400177,4.401945
Caleb Fields,Fairfield,2024,0.000000,1.630604,2.062235,1.438768,11.701983
Daniel Schreier,NJIT,2024,0.000000,1.194532,0.597266,0.000000,3.583596
Elijah Buchanan,NJIT,2024,0.000000,3.407604,2.981654,0.766711,15.078649
Juan Munoz,Hawaii,2024,0.000000,1.516820,1.042814,1.896025,10.807344
DJ Burns Jr.,N.C. State,2024,0.114658,4.299690,4.700994,0.000000,18.001369
Deon Stroud,Texas Southern,2024,0.169283,1.184980,1.015697,0.338566,5.417050
Aanen Moody,Montana,2024,0.000000,2.319597,1.564379,0.755218,10.033606
Blake Hinson,Pittsburgh,2024,0.053820,2.475699,0.753474,0.430556,7.750014
Franco Miller Jr.,Florida Gulf Coast,2024,0.091588,3.113979,0.549526,0.366350,8.426060
Jonathan Tchamwa Tchatchoua,Baylor,2024,0.000000,0.000000,0.000000,0.000000,0.000000
Jimmy Nichols,Coastal Carolina,2024,0.000000,2.294023,2.064621,0.000000,8.717288
TJ Moss,Cleveland St.,2024,0.000000,0.721095,1.442190,0.000000,4.326570
Parker Braun,Kansas,2024,0.000000,0.000000,0.232425,0.000000,0.464850
Diante Wood,Tennessee Tech,2024,0.000000,1.620315,2.001566,0.000000,7.243763
Kobe Julien,Louisiana,2024,0.057125,4.113023,1.828010,0.342752,12.910322
Amanze Ngumezi,Mercer,2024,0.564077,2.068281,1.692230,0.376051,8.649177
Darius Beane,Lindenwood,2024,0.000000,2.031413,5.373416,0.131059,15.202835
Cameron Jones,McNeese St.,2024,0.000000,2.560011,0.182858,0.000000,5.485738
Tre King,Iowa St.,2024,0.000000,1.487691,0.540979,0.000000,4.057340
Cameron Tyson,Seattle,2024,0.000000,1.024255,2.264142,1.347703,10.619903
RayQuawndis Mitchell,Penn St.,2024,0.000000,0.876011,0.292004,0.292004,3.212041
Braden Norris,Loyola Chicago,2024,0.000000,0.206104,0.463735,0.103052,1.648835
Nick Honor,Missouri,2024,0.000000,0.873960,0.932224,0.699168,5.709872
Dravon Mangum,Louisiana Tech,2024,0.000000,1.066736,0.213347,0.000000,2.560166
Jared Bynum,Stanford,2024,0.000000,2.117874,0.926570,0.661836,8.074394
Sy Chatman,Buffalo,2024,0.934401,3.854405,0.759201,0.233600,9.928012
Tre Wood,George Mason,2024,0.000000,2.069045,2.896663,0.000000,9.931416
Samba Diallo,Merrimack,2024,0.066143,1.653576,0.396858,0.000000,4.100869
Ryan Young,Duke,2024,0.139307,1.810991,0.000000,0.000000,3.621982
Jaedon LeDee,San Diego St.,2024,0.317960,2.702660,3.126607,0.052993,11.817513
Dorian James,North Florida,2024,0.209144,2.997731,1.115435,0.069715,8.435475
Bryce Washington,Hofstra,2024,0.197510,1.283812,0.098755,0.000000,2.765134
Anthony Crump,Western Michigan,2024,0.619701,3.364092,0.708230,0.000000,8.144643
Darius Brown II,Utah St.,2024,0.000000,1.369624,1.983593,1.275167,10.531933
Isaiah Bigelow,Richmond,2024,0.204059,1.496435,1.564455,0.680198,8.162372
Messiah Jones,Towson,2024,0.000000,2.723538,1.702212,0.000000,8.851500
Anthony Roberts,Purdue Fort Wayne,2024,0.755761,2.821506,1.561905,0.201536,9.371431
Matt Veretto,Vermont,2024,0.204147,1.531106,0.816590,0.102074,5.001613
Brock Cunningham,Texas,2024,0.000000,0.391841,0.156736,0.000000,1.097154
Jake Wolfe,Indiana St.,2024,0.000000,1.243720,0.466395,0.000000,3.420230
Micheal Anumba,Winthrop,2024,0.000000,2.433231,0.729969,0.000000,6.326400
Rashad Williams,Arkansas Pine Bluff,2024,0.000000,1.498369,1.427018,2.069176,12.058301
LaQuill Hardnett,Arkansas St.,2024,0.000000,0.994770,0.000000,0.000000,1.989540
Jason Wade,Old Dominion,2024,0.000000,1.510130,0.100675,0.000000,3.221611
Nicolas Timberlake,Kansas,2024,0.112289,0.673731,0.449154,0.000000,2.245771
Chris Austin,Portland,2024,0.148218,1.333959,0.963415,0.074109,4.817076
Jalen Cobb,Mercer,2024,0.000000,0.672201,0.960287,0.384115,4.417320
Zion Young,Southern Utah,2024,0.065141,1.758814,1.433107,0.325706,7.360961
Matt Mims,South Dakota St.,2024,0.000000,0.447438,0.357950,0.626413,3.490014
Ebrima Dibba,South Carolina,2024,0.000000,2.141090,0.000000,0.000000,4.282180
Jaxson Baker,New Hampshire,2024,0.000000,1.185204,0.711123,0.059260,3.970435
Gabe McGlothan,Grand Canyon,2024,0.153271,1.634893,1.430531,0.051090,6.284120
Savion Lewis,Quinnipiac,2024,0.054349,2.119595,2.500035,0.054349,9.402306
Matt Balanc,Quinnipiac,2024,0.153111,1.480075,2.296668,1.020741,10.615710
CJ Fredrick,Cincinnati,2024,0.000000,0.000000,0.379336,0.379336,1.896679
Miles Latimer,Bryant,2024,0.000000,1.037680,0.691787,0.000000,3.458935
Jose Placer,South Florida,2024,0.000000,0.230564,2.190357,1.037538,7.954454
Frankie Policelli,Charleston,2024,0.000000,1.645381,0.705163,0.705163,6.816580
Keonte Kennedy,California,2024,0.441330,1.912429,1.176879,0.073555,6.399280
Grayson Carter,Texas Southern,2024,0.000000,2.316942,0.805893,0.000000,6.245669
Dean Noll,Stony Brook,2024,0.000000,1.624752,3.187014,0.374943,10.748360
Tae Hardy,UTEP,2024,0.162078,1.566754,2.052988,0.756364,9.508574
Antoine Smith Jr.,George Washington,2024,0.000000,1.038259,0.000000,0.000000,2.076517
Jarius Cook,Jacksonville,2024,0.000000,0.424422,0.169769,0.169769,1.697689
Jemarl Baker Jr.,New Mexico,2024,0.000000,0.281973,0.281973,0.000000,1.127892
Riley Abercrombie,Northern Colorado,2024,0.000000,0.233698,1.635883,0.000000,3.739162
Keith Haymon II,Lindenwood,2024,0.000000,0.203554,0.305331,0.203554,1.628431
Atiba Taylor,South Carolina St.,2024,0.000000,1.536962,1.383266,0.000000,5.840456
Matthue Cotton,Hawaii,2024,0.320203,1.120709,0.320203,0.160101,3.362126
Philmon Gebrewhit,Northern Illinois,2024,0.000000,1.180447,0.524643,0.918126,6.164557
Kenny Strawbridge Jr.,Evansville,2024,0.176483,2.706070,1.470690,0.235310,9.059452
Andrew Taylor,Mississippi St.,2024,0.000000,0.000000,0.764593,0.764593,3.822967
Fardaws Aimaq,California,2024,0.337056,3.145858,1.966161,0.112352,10.561095
Keshaun Saunders,Portland St.,2024,0.000000,3.331450,0.740322,0.370161,9.254028
Jelani Williams,Howard,2024,0.000000,2.072750,2.331844,0.000000,8.809188
Tai Strickland,LIU,2024,0.000000,2.600872,2.384132,0.433479,11.270444
Alexis Yetna,Fairfield,2024,0.183988,2.391842,0.000000,0.000000,4.783683
J'Raan Brooks,UC San Diego,2024,0.000000,1.067217,0.485099,0.097020,3.395690
Elijah Elliott,UT Rio Grande Valley,2024,0.000000,2.186097,3.060536,0.491872,11.968881
Cache Fields,Utah Valley,2024,0.000000,0.000000,0.000000,0.000000,0.000000
Patrick Mwamba,Loyola Chicago,2024,0.316803,1.425615,0.316803,0.158402,3.960043
Nate McClure,Le Moyne,2024,0.071240,0.783642,0.142480,0.213721,2.493407
Tyrece Radford,Texas A&M,2024,0.000000,4.883605,2.383665,0.581382,16.278685
Adam Hess,NJIT,2024,0.000000,0.855923,0.784596,0.142654,3.709001
Zan Payne,Louisville,2024,0.000000,0.323940,0.000000,0.000000,0.647880
Max Rice,Boise St.,2024,0.000000,1.029437,1.211102,0.847771,7.024392
Aundre Hyatt,Rutgers,2024,0.000000,1.676790,0.768529,0.558930,6.567427
DeShang Weaver,Oral Roberts,2024,0.171114,0.941127,1.368913,0.342228,5.646765
Tyler Bertram,Albany,2024,0.000000,0.200884,0.736576,0.334807,2.879341
Kevin McCullar Jr.,Kansas,2024,0.201075,2.345872,1.340498,0.134050,7.774890
Mekhi Long,Virginia Tech,2024,0.528570,1.761900,0.000000,0.000000,3.523800
Moses Flowers,St. Bonaventure,2024,0.153606,0.921633,1.689661,0.844831,7.757081
Colby Rogers,Wichita St.,2024,0.000000,0.792441,2.971653,1.733464,12.728578
Jeremiah Hernandez,Southern Indiana,2024,0.518215,4.016169,1.489869,0.582992,12.761054
Alimamy Koroma,Portland,2024,0.000000,1.558250,1.869900,0.000000,6.856300
Giovanni Santiago,Kent St.,2024,0.000000,1.131507,0.509178,0.565753,4.978630
Tim Ceaser,UNC Greensboro,2024,0.000000,0.566013,0.141503,0.141503,1.839543
Miroslav Stafl,Coastal Carolina,2024,0.000000,2.345136,1.302854,0.000000,7.295980
Giordan Williams,Montana,2024,0.000000,2.291263,0.404341,0.000000,5.391208
Miguel Tomley,Idaho St.,2024,0.000000,1.339853,2.192487,1.522560,11.632359
Cade Alger,San Diego St.,2024,0.000000,0.000000,6.003400,0.000000,12.006800
Joshua Lusane,Hampton,2024,0.000000,1.067175,1.185750,0.118575,4.861575
Anderson Kopp,UMKC,2024,0.000000,0.668998,3.567989,0.445999,9.811970
Jameer Nelson Jr.,TCU,2024,0.200337,2.537601,2.470822,0.601011,11.819880
Jamison Battle,Ohio St.,2024,0.108152,1.081524,1.784514,0.540762,7.354362
Shawn Walker Jr.,Murray St.,2024,0.000000,0.858221,0.686577,0.000000,3.089596
Harouna Sissoko,Illinois St.,2024,0.000000,0.000000,1.826750,0.000000,3.653500
DaJuan Gordon,UT Arlington,2024,0.114646,2.751502,0.401261,0.057323,6.477494
Marcus Foster,Furman,2024,0.078278,2.896304,1.252456,0.469671,9.706532
Elias King,Middle Tennessee,2024,0.290892,2.152602,1.163568,0.523606,8.203157
Akok Akok,West Virginia,2024,0.185973,0.557918,0.557918,0.000000,2.231670
Richie Springs,Quinnipiac,2024,0.186541,2.051956,1.492331,0.000000,7.088574
