player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Josh Warren,Cornell,2019,0.000000,1.840901,0.613634,0.076704,5.139181
Dontel Highsmith,Cleveland St.,2019,0.000000,1.349949,0.245445,0.122723,3.558956
Emmanuel Toney,Texas A&M Corpus Chris,2019,0.000000,2.488482,0.365953,0.146381,6.148015
Damarion Geter,Longwood,2019,0.167891,1.678907,0.419727,0.000000,4.197268
Parker Van Dyke,Utah,2019,0.078090,0.702808,0.234269,0.858988,4.451117
Andre Adams,Southern Utah,2019,0.149799,3.370486,1.123495,0.000000,8.987963
Mitch Hahn,Nebraska Omaha,2019,0.115342,1.441772,3.344911,0.576709,11.303493
Ryan Andino,Maryland Eastern Shore,2019,0.000000,0.367354,0.367354,1.102063,4.775607
Chancellor Barnard,Binghamton,2019,0.000000,2.221786,0.000000,0.063480,4.634011
Keon Williams,St. Francis NY,2019,0.181763,1.090581,0.090882,0.181763,2.908216
Glenn Sanabria,St. Francis NY,2019,0.000000,2.712288,0.766516,1.886809,12.618037
Tre'Shawn Thurman,Nevada,2019,0.250593,2.067395,0.689132,0.000000,5.513053
Cheddi Mosely,La Salle,2019,0.000000,0.000000,1.414143,0.282829,3.676771
Dave Bell,Jacksonville,2019,0.890100,2.274700,0.494500,0.000000,5.538400
Jeremy Combs,Texas Southern,2019,0.317518,3.583415,0.771115,0.045360,8.845138
Aaren Edmead,North Carolina A&T,2019,0.000000,1.399287,0.816251,0.816251,6.879829
Corey Henson,Nevada,2019,0.000000,0.720675,0.288270,0.000000,2.017890
Antonio Woods,Penn,2019,0.000000,2.248575,0.281072,0.955644,7.926226
Nathan Moran,Lipscomb,2019,0.000000,0.364615,0.243077,0.364615,2.309231
Trevor John,Drexel,2019,0.000000,0.397040,0.283600,0.226880,2.041920
Terrell Lewis,Eastern Illinois,2019,0.000000,0.000000,0.000000,0.000000,0.000000
Zacarry Douglas,North Carolina Central,2019,0.000000,1.248302,0.901551,0.000000,4.299707
Justin Coleman,Arizona,2019,0.000000,1.902481,0.891788,1.189050,9.155688
Hassan Hussein,Southern,2019,0.000000,1.464345,1.464345,0.000000,5.857380
Josh Delaney,Sam Houston St.,2019,0.000000,1.572330,0.440252,1.949690,9.874234
Logan Power,South Dakota,2019,0.000000,1.480745,0.740372,1.110559,7.773910
Albert Almanza,Sam Houston St.,2019,0.000000,0.448569,0.807424,0.000000,2.511986
Thatch Unruh,Central Arkansas,2019,0.000000,1.091001,1.033580,0.229684,4.938216
Connor Kern,The Citadel,2019,0.000000,0.743369,0.165193,0.330386,2.808285
Bryan Alberts,Long Beach St.,2019,0.058682,0.293412,1.877834,0.645506,6.279008
Josh Perkins,Gonzaga,2019,0.048248,2.315924,1.206210,0.627229,8.925957
Zach McRoberts,Indiana,2019,0.000000,0.000000,0.163015,0.000000,0.326031
Zoran Talley Jr.,Iowa St.,2019,0.371219,1.856092,1.113656,0.000000,5.939496
Shawn Roundtree,Central Michigan,2019,0.000000,1.813235,1.511029,0.906617,9.368380
Jake Toolson,Utah Valley,2019,0.000000,2.934302,1.184017,1.286975,12.097562
Namon Wright,Colorado,2019,0.244482,2.200336,1.222409,0.000000,6.845489
Jakeenan Gant,Louisiana,2019,0.575653,3.453917,0.805914,0.230261,9.210445
Tyree Griffin,Southern Miss,2019,0.000000,2.344328,2.109896,1.054948,12.073292
Romone Saunders,Wagner,2019,0.000000,2.546167,0.807321,0.807321,9.128941
Cameron Jackson,Wofford,2019,0.923124,6.384941,2.692445,0.153854,18.616334
Stuckey Mosley,James Madison,2019,0.000000,2.004664,2.060350,0.668221,10.134693
Deshon Taylor,Fresno St.,2019,0.119434,3.344155,1.254058,2.030380,15.287566
Sandy Cohen III,Green Bay,2019,0.336199,2.227317,1.933143,1.176696,11.851008
Marques Townes,Loyola Chicago,2019,0.055929,3.579428,2.572714,0.391500,13.478783
Schadrac Casimir,Florida Gulf Coast,2019,0.000000,1.892814,0.549527,0.854819,7.449137
Nyaires Redding,Wyoming,2019,0.000000,1.546557,0.662810,0.000000,4.418733
Christen Cunningham,Louisville,2019,0.000000,2.765435,1.354499,0.677249,10.271614
Detrick Mostella,Jacksonville St.,2019,0.101250,1.721257,1.012504,0.506252,6.986277
Noah Robotham,UNLV,2019,0.000000,0.929803,0.697353,1.162254,6.741075
Javon Bess,Saint Louis,2019,0.000000,0.626088,1.967706,0.402485,6.395045
Kenny Goins,Michigan St.,2019,0.049757,0.497572,0.099514,0.000000,1.194174
Aaron Calixte,Oklahoma,2019,0.080434,2.010844,1.206506,1.045639,9.571618
Jordan Nobles,Oakland,2019,0.000000,0.819440,0.000000,0.000000,1.638880
Jeremy Jones,Gonzaga,2019,0.428754,1.822203,0.107188,0.000000,3.858782
Clayton Custer,Loyola Chicago,2019,0.000000,1.298593,1.637357,0.112921,6.210663
Isaiah Gurley,Texas St.,2019,0.000000,1.108782,1.847970,0.000000,5.913504
Max Twyman,Hartford,2019,0.000000,0.641646,0.000000,0.000000,1.283293
Toby Van Ry,UTSA,2019,0.000000,3.214930,0.000000,0.000000,6.429860
Ed Jones,Alabama St.,2019,0.239999,0.959998,0.479999,0.000000,2.879994
Ryan Luther,Arizona,2019,0.073498,1.322964,0.367490,0.073498,3.601402
Brock Stull,Minnesota,2019,0.000000,0.179625,0.000000,0.000000,0.359250
Cane Broome,Cincinnati,2019,0.000000,2.491839,2.076532,0.498368,10.631845
Brandone Francis,Texas Tech,2019,0.000000,1.047199,0.785399,0.196350,4.254245
Trey Touchet,McNeese St.,2019,0.000000,1.357727,0.169716,0.000000,3.054887
Terry Winn III,UT Rio Grande Valley,2019,0.053409,2.082967,1.548873,0.000000,7.263681
J.C. Show,Binghamton,2019,0.000000,0.972008,0.914831,0.628946,5.660515
Jordan Reed,New Hampshire,2019,0.000000,1.045490,0.836392,0.487895,5.227450
Reginal Johnson,Alcorn St.,2019,0.000000,1.815362,1.601790,0.213572,7.475020
Mike Daum,South Dakota St.,2019,0.563557,3.893669,2.869019,0.204930,14.140166
Davon Bell,Presbyterian,2019,0.000000,3.407310,0.934263,0.659479,10.661584
Ethan Happ,Wisconsin,2019,0.056711,6.181543,3.516107,0.000000,19.395299
Armani Branch,Norfolk St.,2019,0.132934,0.797604,0.398802,0.000000,2.392811
Xavian Stapleton,Florida Atlantic,2019,0.322229,2.148193,2.255603,1.503735,13.318797
Wil Bathurst,UAB,2019,0.000000,0.000000,0.000000,0.000000,0.000000
Tarin Smith,Connecticut,2019,0.188554,2.136947,1.508433,0.062851,7.479315
Spencer Rivers,UC Irvine,2019,0.000000,1.295540,0.863693,0.000000,4.318467
Khwan Fore,Louisville,2019,0.089231,1.606149,0.535383,0.089231,4.550757
Taishaun Johnson,Prairie View A&M,2019,0.000000,2.226197,1.228247,0.614123,8.751258
Kevin Holland,Southern Miss,2019,0.000000,0.347526,0.173763,0.173763,1.563868
Eric Carter,Delaware,2019,0.191007,4.647837,2.610429,0.000000,14.516532
David Efianayi,Gardner Webb,2019,0.537483,3.278649,0.913722,0.591232,10.158437
Richard Lee,Southern,2019,0.000000,0.367226,1.395458,0.807897,5.949058
Emmitt Holt,Providence,2019,0.000000,1.604330,1.604330,0.000000,6.417320
LaQuentin Collins,Southern,2019,0.000000,0.000000,0.000000,0.000000,0.000000
Isaiah Jackson,Providence,2019,0.064671,1.746106,0.582035,0.064671,4.850295
Nick Norton,Drake,2019,0.000000,1.855697,0.713730,1.141968,8.564757
BJ Taylor,UCF,2019,0.000000,2.252083,1.466473,0.785610,9.793943
Nathan Ekwu,Davidson,2019,0.000000,1.798430,0.899215,0.000000,5.395290
Evan Fitzner,Indiana,2019,0.000000,0.985947,0.821623,0.000000,3.615140
Zaynah Robinson,Northern Kentucky,2019,0.000000,1.098928,1.098928,0.805881,6.813355
Gerard Martin,Grand Canyon,2019,0.156200,0.468600,0.000000,0.312400,1.874400
Marial Shayok,Iowa St.,2019,0.156107,3.070105,2.445677,0.728499,13.217062
B.J. Stith,Old Dominion,2019,0.101060,1.667483,1.616954,0.252649,7.326821
Chris Collins,Texas A&M,2019,0.000000,0.000000,0.156691,0.000000,0.313381
Brocke Stepteau,Hawaii,2019,0.000000,1.939579,2.088778,0.596794,9.847096
Samuel Dingba,Vermont,2019,0.000000,1.509761,0.137251,0.000000,3.294024
Torin Dorn,N.C. State,2019,0.054358,3.152766,2.391753,0.000000,11.089037
Jalen Adams,Connecticut,2019,0.219927,4.691771,2.565812,1.539487,19.133630
Brandon Alston,Georgia Tech,2019,0.000000,2.299357,1.149678,0.510968,8.430974
Kaleb Joseph,Creighton,2019,0.000000,1.744678,1.526594,0.109042,6.869671
Jake Babic,Texas A&M Corpus Chris,2019,0.000000,0.578700,0.347220,0.115740,2.199060
Anthony Durham,Rider,2019,0.119490,1.433884,0.597452,0.238981,4.779613
Larry Austin Jr.,Central Michigan,2019,0.098032,7.891549,0.735237,0.049016,17.400621
