season,team,player,off_possessions,def_possessions,unassisted_rim_makes,unassisted_mid_makes,unassisted_3pm,rim_assists,off_fouls_drawn,fta,rim_att,dunks_made,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,rim_assists_100,off_fouls_drawn_100,fta_100,rim_att_100,dunks_100
2011,Air Force,Adam Brakeville,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Chase Kammerer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Derek Brooks,0.0,0.0,33.0,16.0,31.0,0.0,0.0,65.0,47.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Evan Washington,0.0,0.0,39.0,27.0,1.0,0.0,0.0,66.0,63.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Kyle Green,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Michael Lyons,0.0,0.0,40.0,54.0,19.0,0.0,0.0,99.0,56.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Mike Fitzgerald,0.0,0.0,13.0,5.0,15.0,0.0,0.0,18.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Myles Jerrett,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Scott Stucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Shawn Hempsey,0.0,0.0,2.0,6.0,1.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Air Force,Taylor Broekhuis,0.0,0.0,29.0,14.0,17.0,0.0,0.0,54.0,39.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
